clusterName,clusterSize,f_score,recall,PPV,TN,FP,FN,TP,marker_count,markers,onTarget
001 CLA-EPd-CTX Car3 Glut,250,0.6495468277945619,0.344,0.8349514563106796,249445,17,164,86,2,"['Car3', 'Rgs12']",0.2392894923686981
002 IT EP-CLA Glut,850,0.6089438629876307,0.3011764705882352,0.8178913738019169,248805,57,594,256,3,"['Npsr1', '6530403H02Rik', 'Vxn']",0.0593490526080131
003 L5/6 IT TPE-ENT Glut,500,0.4447565543071161,0.19,0.6690140845070423,249165,47,405,95,4,"['Wnt7b', 'Etv1', 'C1ql3', 'Gm2694']",0.0278343930840492
004 L6 IT CTX Glut,1100,0.5601343101343101,0.3336363636363636,0.6746323529411765,248435,177,733,367,3,"['Igfbp6', 'Cryab', 'C1ql3']",0.0477337129414081
005 L5 IT CTX Glut,550,0.3495007132667617,0.1781818181818182,0.460093896713615,249047,115,452,98,3,"['Dkkl1', 'Trbc2', 'Hs3st2']",0.2779898345470428
006 L4/5 IT CTX Glut,1850,0.5541082164328658,0.2989189189189189,0.7044585987261146,247630,232,1297,553,3,"['A830036E02Rik', 'Scube1', 'Satb2']",0.0715638399124145
007 L2/3 IT CTX Glut,900,0.4414784394250514,0.1911111111111111,0.6564885496183206,248722,90,728,172,3,"['Stard8', 'Ccbe1', '9130024F11Rik']",0.0575685538351535
008 L2/3 IT ENT Glut,850,0.57757644394111,0.24,0.8908296943231441,248837,25,646,204,3,"['Gm49906', 'Cd44', 'Rspo2']",0.0893043056130409
009 L2/3 IT PIR-ENTl Glut,1400,0.4580674567000912,0.2871428571428571,0.5381526104417671,247967,345,998,402,3,"['Pdzrn3', 'Slc17a7', 'Lmo7']",0.0250598657876253
010 IT AON-TT-DP Glut,1000,0.5241935483870968,0.208,0.8455284552845529,248674,38,792,208,2,"['Abi3bp', 'Bmpr1b']",0.2607613503932953
011 L2 IT ENT-po Glut,300,0.6783536585365855,0.2966666666666667,1.0,249412,0,211,89,4,"['Rspo2', 'Cntnap3', 'Lef1', 'Cbln4']",0.0340397991240024
012 MEA Slc17a7 Glut,1131,0.4051333668847509,0.1423519009725906,0.7523364485981309,248528,53,970,161,3,"['Trhr', 'Car12', 'Bhlhe22']",0.0893165841698646
013 COAp Grxcr2 Glut,300,0.5855263157894737,0.2966666666666667,0.7739130434782608,249386,26,211,89,2,"['Trh', 'Krt12']",0.201940432190895
014 LA-BLA-BMA-PA Glut,1550,0.5802404600104549,0.2864516129032258,0.7803163444639719,248037,125,1106,444,3,"['Fezf2', 'C1ql3', 'B130024G19Rik']",0.0274904295802116
015 ENTmv-PA-COAp Glut,450,0.5326295585412668,0.2466666666666666,0.75,249225,37,339,111,3,"['Dio3', 'Abca8a', 'Dcn']",0.4925518333911896
016 CA1-ProS Glut,1750,0.5516637478108581,0.216,0.9021479713603818,247921,41,1372,378,2,"['Fibcd1', 'Vxn']",0.099145121872425
017 CA3 Glut,1074,0.7135728542914171,0.3994413407821229,0.8881987577639752,248584,54,645,429,3,"['Slc9a4', 'Npy2r', 'Smoc2']",0.2977638840675354
018 L2 IT PPP-APr Glut,550,0.6108897742363878,0.3345454545454545,0.7698744769874477,249107,55,366,184,2,"['Gm19410', 'Ctxn3']",0.1266941577196121
019 L2/3 IT PPP Glut,650,0.5541455160744501,0.2015384615384615,0.9849624060150376,249060,2,519,131,2,"['Wfs1', 'Cck']",0.0269857197999954
020 L2/3 IT RSP Glut,250,0.4780876494023904,0.192,0.7619047619047619,249447,15,202,48,3,"['Klf5', 'Cxcl14', 'Cck']",0.0508284345269203
021 L4 RSP-ACA Glut,100,0.7857142857142856,0.44,0.9777777777777776,249611,1,56,44,2,"['Il22', 'Prph']",0.2262192368507385
022 L5 ET CTX Glut,1700,0.6818936877076412,0.4829411764705882,0.7601851851851852,247753,259,879,821,2,"['Gm19410', 'Fezf2']",0.1296276599168777
023 SUB-ProS Glut,750,0.6483715319662243,0.2866666666666667,0.947136563876652,248950,12,535,215,2,"['Fn1', 'Gm2164']",0.0941308811306953
024 L5 PPP Glut,50,0.7377049180327868,0.36,1.0,249662,0,32,18,2,"['Lipm', 'Angpt1']",0.5388844609260559
025 CA2-FC-IG Glut,150,0.6451612903225807,0.2666666666666666,1.0,249562,0,110,40,2,"['Gm43154', 'Rgs14']",0.3080300688743591
026 NLOT Rho Glut,50,0.8734939759036144,0.58,1.0,249662,0,21,29,3,"['Cyp26b1', 'C1ql1', 'C1ql3']",0.1041588708758354
027 L6b EPd Glut,350,0.589960886571056,0.5171428571428571,0.6114864864864865,249247,115,169,181,3,"['Ccn2', '6530403H02Rik', 'Fezf2']",0.0647416114807128
028 L6b/CT ENT Glut,700,0.5522629310344828,0.2928571428571428,0.7093425605536332,248928,84,495,205,2,"['Cobll1', 'Nxph3']",0.0549119226634502
029 L6b CTX Glut,600,0.6973684210526317,0.3533333333333333,0.9217391304347826,249094,18,388,212,2,"['Clic5', 'Cplx3']",0.2313628196716308
030 L6 CT CTX Glut,1100,0.6224627875507442,0.3345454545454545,0.7931034482758621,248516,96,732,368,2,"['Trbc2', 'Vxn']",0.1625688523054123
031 CT SUB Glut,150,0.5434782608695651,0.3,0.6818181818181818,249541,21,105,45,3,"['Rspo2', 'Sntb1', 'Vxn']",0.0550379864871501
032 L5 NP CTX Glut,800,0.6479481641468682,0.3,0.9125475285171104,248889,23,560,240,2,"['Myl4', 'Nxph3']",0.3148014843463897
033 NP SUB Glut,300,0.6578947368421052,0.4333333333333333,0.7558139534883721,249370,42,170,130,2,"['Sntb1', 'Nxph3']",0.0573852583765983
034 NP PPP Glut,150,0.5307262569832403,0.2533333333333333,0.7307692307692307,249548,14,112,38,3,"['Rxfp1', 'Prph', 'Nxph3']",0.0520568899810314
035 OB Eomes Ms4a15 Glut,550,0.8340573414422241,0.6981818181818182,0.8767123287671232,249108,54,166,384,1,['Cdhr1'],0.4074966311454773
036 HPF CR Glut,250,0.7178841309823678,0.456,0.8382352941176471,249440,22,136,114,1,['Trp73'],0.2971881926059723
037 DG Glut,450,0.631911532385466,0.3555555555555555,0.7843137254901961,249218,44,290,160,2,"['C1ql2', 'Glis3']",0.1420013606548309
038 DG-PIR Ex IMN,342,0.5721003134796238,0.2134502923976608,0.9864864864864864,249369,1,269,73,2,"['Neurod1', 'Tubb2b']",0.043164923787117
039 OB Meis2 Thsd7b Gaba,492,0.5078125,0.1849593495934959,0.900990099009901,249210,10,401,91,3,"['Foxp2', 'Pcp4l1', 'Meis2']",0.010890731588006
040 OB Trdn Gaba,150,0.8844765342960289,0.6533333333333333,0.9702970297029704,249559,3,52,98,2,"['Inhba', 'Ctxn3']",0.1199210286140441
041 OB-in Frmd7 Gaba,1800,0.6633435582822086,0.2883333333333333,0.9829545454545454,247903,9,1281,519,2,"['Cpa6', 'Meis2']",0.1527515053749084
042 OB-out Frmd7 Gaba,550,0.6851549755301795,0.3054545454545455,0.9940828402366864,249161,1,382,168,2,"['Pde5a', 'Kcnip2']",0.0533193200826644
043 OB-mi Frmd7 Gaba,150,0.7591623036649214,0.3866666666666666,1.0,249562,0,92,58,2,"['Tcap', 'Vip']",0.6458290219306946
044 OB Dopa-Gaba,550,0.7464846980976013,0.6563636363636364,0.7730192719486081,249056,106,189,361,1,['Lgr5'],0.0534215196967124
045 OB-STR-CTX Inh IMN,1410,0.6221937139191789,0.275177304964539,0.9086651053864168,248263,39,1022,388,2,"['Cd24a', 'Meis2']",0.0393173694610595
046 Vip Gaba,2050,0.761166041595636,0.435609756097561,0.9360587002096435,247601,61,1157,893,2,"['Vip', 'Egfr']",0.1847670972347259
047 Sncg Gaba,1100,0.5602134146341464,0.2672727272727273,0.7716535433070866,248525,87,806,294,2,"['Htr3a', 'Megf10']",0.2348245829343795
048 RHP-COA Ndnf Gaba,992,0.5471246006389776,0.2762096774193548,0.7248677248677249,248616,104,718,274,2,"['Htr3a', 'Col19a1']",0.1892476677894592
049 Lamp5 Gaba,898,0.6757990867579908,0.3296213808463251,0.9164086687306502,248787,27,602,296,2,"['Cplx3', 'Kit']",0.0856682583689689
050 Lamp5 Lhx6 Gaba,400,0.7692307692307693,0.5,0.8888888888888888,249287,25,200,200,2,"['Lhx6', 'Cryab']",0.0591071024537086
051 Pvalb chandelier Gaba,100,0.6944444444444444,0.4,0.851063829787234,249605,7,60,40,2,"['Pthlh', 'Unc5b']",0.2177304327487945
052 Pvalb Gaba,1100,0.6387578616352202,0.2954545454545454,0.9002770083102493,248576,36,775,325,2,"['Rbp4', 'Tac1']",0.1411446034908294
053 Sst Gaba,3650,0.6463001318019206,0.3761643835616438,0.7877223178427998,245692,370,2277,1373,2,"['Mafb', 'Klf5']",0.0865846797823906
054 STR Prox1 Lhx6 Gaba,497,0.6902218570254725,0.3380281690140845,0.9333333333333332,249203,12,329,168,2,"['Gpr83', 'Igfbp4']",0.086940124630928
055 STR Lhx8 Gaba,298,0.6301939058171746,0.3053691275167785,0.8584905660377359,249399,15,207,91,4,"['Th', 'Sfta3-ps', 'Lhx8', 'Lhx6']",0.0771387293934822
056 Sst Chodl Gaba,885,0.6899766899766899,0.3344632768361582,0.9396825396825396,248808,19,589,296,2,"['Sfrp1', 'Sst']",0.1334891766309738
057 NDB-SI-MA-STRv Lhx8 Gaba,2731,0.7508845498624034,0.4196265104357378,0.9355102040816328,246902,79,1585,1146,2,"['Gbx1', 'Sox6']",0.1492311656475067
058 PAL-STR Gaba-Chol,758,0.8251996450754215,0.4907651715039577,0.9946524064171124,248952,2,386,372,2,"['Chat', 'Lhx8']",0.2400835156440735
059 GPe-SI Sox6 Cyp26b1 Gaba,250,0.7446808510638298,0.392,0.9607843137254902,249458,4,152,98,3,"['Cyp26b1', 'Sox6', 'Penk']",0.0450920313596725
060 OT D3 Folh1 Gaba,200,0.59,0.295,0.7866666666666666,249496,16,141,59,2,"['Drd3', 'Prok2']",0.4856530725955963
061 STR D1 Gaba,1100,0.7159353348729791,0.4509090909090909,0.8392554991539763,248517,95,604,496,2,"['Pdyn', 'Rarb']",0.073726437985897
062 STR D2 Gaba,1247,0.8310592904986357,0.53728949478749,0.9626436781609196,248439,26,577,670,2,"['Adora2a', 'Ppp1r1b']",0.5468084812164307
063 STR D1 Sema5a Gaba,548,0.6079931972789115,0.260948905109489,0.910828025477707,249150,14,405,143,2,"['Gm40663', 'Rarb']",0.5145359039306641
064 STR-PAL Chst9 Gaba,750,0.4916753381893861,0.252,0.6450511945392492,248858,104,561,189,2,"['Chst9', 'Six3']",0.1055600196123123
065 IA Mgp Gaba,571,0.4222573007103393,0.1873905429071803,0.6149425287356322,249074,67,464,107,3,"['Ntsr1', 'Col23a1', 'Arx']",0.0585676841437816
066 NDB-SI-ant Prdm12 Gaba,590,0.4575402635431919,0.211864406779661,0.6443298969072165,249053,69,465,125,3,"['Prdm12', 'Pax6', 'Sema3a']",0.0503098890185356
067 LSX Sall3 Pax6 Gaba,387,0.6967615309126595,0.3669250645994832,0.8987341772151899,249309,16,245,142,3,"['Pax6', 'Zic1', 'Gfra1']",0.0176512021571397
068 LSX Otx2 Gaba,1152,0.4716981132075472,0.1909722222222222,0.7457627118644068,248485,75,932,220,2,"['Gpc3', 'Otx2os1']",0.0594345405697822
069 LSX Nkx2-1 Gaba,2013,0.468895078922934,0.250869349230005,0.5990510083036773,247361,338,1508,505,2,"['Synm', 'Myo5b']",0.0446563065052032
070 LSX Prdm12 Slit2 Gaba,1654,0.4662144187283852,0.4238210399032648,0.4781718963165075,247293,765,953,701,2,"['Prdm12', 'Clic4']",0.1326308399438858
071 LSX Prdm12 Zeb2 Gaba,1237,0.5444175596266851,0.2546483427647534,0.7608695652173914,248376,99,922,315,2,"['Ano2', 'Matn2']",0.1798290461301803
072 LSX Sall3 Lmo1 Gaba,694,0.5173775671406002,0.1887608069164265,0.916083916083916,249006,12,563,131,3,"['Sall3', 'Mob3b', 'Prkcd']",0.0716150030493736
073 MEA-BST Sox6 Gaba,2470,0.4429839535677706,0.2101214574898785,0.6127508854781583,246914,328,1951,519,3,"['Cxcl14', 'Sox6', 'Scn5a']",0.0336599349975585
074 MEA-BST Lhx6 Sp9 Gaba,1550,0.5865432716358179,0.3025806451612903,0.7663398692810458,248019,143,1081,469,4,"['Lhx6', 'Sp9', 'Fign', 'Calb1']",0.0267000813037157
075 MEA-BST Lhx6 Nr2e1 Gaba,600,0.6237911025145068,0.43,0.7029972752043597,249003,109,342,258,4,"['Nr2e1', 'Lhx6', 'Dlx1', 'Arx']",0.0490645319223403
076 MEA-BST Lhx6 Nfib Gaba,1666,0.6223316912972084,0.4549819927971189,0.6853526220614828,247698,348,908,758,2,"['Tmem215', 'Lhx6']",0.110948272049427
077 CEA-BST Gal Avp Gaba,100,0.9065934065934066,0.66,1.0,249612,0,34,66,2,"['Avp', 'Gal']",0.6296937465667725
078 SI-MA-ACB Ebf1 Bnc2 Gaba,500,0.5729166666666666,0.22,0.9565217391304348,249207,5,390,110,3,"['Bnc2', 'Gulp1', 'Arx']",0.0389742814004421
079 CEA-BST Six3 Cyp26b1 Gaba,988,0.7117310443490701,0.402834008097166,0.8805309734513275,248670,54,590,398,2,"['Upk1b', 'Cyp26b1']",0.5814881920814514
080 CEA-AAA-BST Six3 Sp9 Gaba,1239,0.2368093061902783,0.0920096852300242,0.3904109589041096,248295,178,1125,114,2,"['Plekhh2', 'Six3']",0.0396689921617507
081 ACB-BST-FS D1 Gaba,522,0.4130808950086058,0.1839080459770115,0.6,249126,64,426,96,4,"['Wfs1', 'Sox1ot', 'Zfp503', 'Ipcef1']",0.0296927168965339
082 CEA-BST Ebf1 Pdyn Gaba,1097,0.3726893261776982,0.1139471285323609,0.8620689655172413,248595,20,972,125,3,"['6430628N08Rik', 'Pdyn', 'Sst']",0.080916903913021
083 CEA-BST Rai14 Pdyn Crh Gaba,200,0.5000000000000001,0.21,0.7636363636363637,249499,13,158,42,3,"['Rai14', 'Pde11a', 'Arx']",0.056428387761116
084 BST-SI-AAA Six3 Slc22a3 Gaba,350,0.5849582172701949,0.24,0.9130434782608696,249354,8,266,84,4,"['Slc22a3', 'Gm45194', 'Six3os1', 'Gm2164']",0.2280147075653076
085 SI-MPO-LPO Lhx8 Gaba,1804,0.6639144558743909,0.5437915742793792,0.7027220630372493,247493,415,823,981,2,"['Gbx2', 'Lhx6']",0.0651724636554718
086 MPO-ADP Lhx8 Gaba,1153,0.4766154944662621,0.2315698178664353,0.6480582524271845,248414,145,886,267,4,"['Lhx8', 'Sfta3-ps', 'Gm2164', 'Pou3f1']",0.0474763810634613
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,500,0.5677655677655679,0.248,0.8378378378378378,249188,24,376,124,4,"['Gpc3', 'Lhx6', 'Pde11a', 'Pde1c']",0.0523899495601654
088 BST Tac2 Gaba,500,0.6481481481481481,0.336,0.8442211055276382,249181,31,332,168,2,"['Tac2', 'Satb2']",0.1439218968153
089 PVR Six3 Sox3 Gaba,1685,0.457075886317023,0.1851632047477744,0.7222222222222222,247907,120,1373,312,4,"['Prdm16', 'Dlx1', 'Rorb', 'Zic1']",0.020037880167365
090 BST-MPN Six3 Nrgn Gaba,1533,0.3410570164019786,0.1709067188519243,0.4540727902946274,247864,315,1271,262,4,"['Rspo1', 'Isl1', 'Six3', 'Scn5a']",0.0389958694577217
091 ARH-PVi Six6 Dopa-Gaba,200,0.804093567251462,0.55,0.9090909090909092,249501,11,90,110,3,"['Slc6a3', 'Dlk1', 'Dlx1']",0.0327530987560749
092 TMv-PMv Tbx3 Hist-Gaba,337,0.8514664143803218,0.5341246290801187,1.0,249375,0,157,180,2,"['Hdc', 'Tbx3']",0.2591101229190826
093 RT-ZI Gnb3 Gaba,1243,0.7230514096185738,0.3507642799678198,0.984198645598194,248462,7,807,436,2,"['Isl1', 'Pvalb']",0.0413760319352149
094 SCH Six6 Cdc14a Gaba,700,0.5361305361305361,0.2628571428571428,0.7244094488188977,248942,70,516,184,2,"['Six6', 'Syt10']",0.1406088322401046
095 DMH Prdm13 Gaba,300,0.6167763157894737,0.25,0.974025974025974,249410,2,225,75,3,"['Sfta3-ps', 'Plagl1', 'Dlx1']",0.038646712899208
096 PVHd Gsc Gaba,50,0.4999999999999999,0.18,0.9,249661,1,41,9,3,"['Gsc', 'Pcsk5', 'Gfra1']",0.016114542260766
097 PVHd-SBPV Six3 Prox1 Gaba,1050,0.3240302743614002,0.1304761904761904,0.5150375939849624,248533,129,913,137,3,"['Isl1', 'Bmper', 'Sox2ot']",0.0235837493091821
098 AHN-SBPV-PVHd Pdrm12 Gaba,1799,0.1660026560424966,0.1528627015008338,0.1696483652066625,246567,1346,1524,275,4,"['Sox2ot', 'Nr2f2', 'Dlk1', 'Dlx1']",0.0104878675192594
099 SBPV-PVa Six6 Satb2 Gaba,750,0.4621848739495798,0.3226666666666666,0.5182012847965739,248737,225,508,242,3,"['Six6', 'Arx', 'Dlx1']",0.0270749162882566
100 AHN Onecut3 Gaba,800,0.396594684385382,0.23875,0.4751243781094527,248701,211,609,191,2,"['Pmfbp1', 'Dlx1']",0.1305038928985595
101 ZI Pax6 Gaba,3612,0.5836471221086605,0.2403100775193798,0.9079497907949792,246012,88,2744,868,3,"['Pax6', 'Arx', 'Lhx1os']",0.0286200586706399
102 DMH-LHA Gsx1 Gaba,1343,0.5027217419148254,0.2338049143708116,0.7056179775280899,248238,131,1029,314,4,"['Asb4', 'St18', 'Isl1', 'Prox1']",0.04042399674654
103 PVHd-DMH Lhx6 Gaba,1102,0.4448017148981779,0.1506352087114337,0.8691099476439791,248585,25,936,166,3,"['Lhx6', 'Drd2', 'St18']",0.0585017725825309
104 TU-ARH Otp Six6 Gaba,1196,0.8291770573566085,0.6672240802675585,0.8827433628318584,248410,106,398,798,2,"['Otp', 'Isl1']",0.0449204295873642
105 TMd-DMH Foxd2 Gaba,443,0.6485740570377185,0.3182844243792325,0.8757763975155279,249249,20,302,141,2,"['Foxd2os', 'Sox14']",0.1864033639430999
106 PVpo-VMPO-MPN Hmx2 Gaba,2331,0.5210377152823197,0.205062205062205,0.8475177304964538,247295,86,1853,478,3,"['Nts', 'Irs4', 'Dlx1']",0.0360907688736915
107 DMH Hmx2 Gaba,2174,0.3954637976155858,0.250229990800368,0.4625850340136054,246906,632,1630,544,3,"['Gal', 'Dlk1', 'Dlx1']",0.0307935159653425
108 ARH-PVp Tbx3 Gaba,550,0.5975794251134645,0.2872727272727273,0.8186528497409327,249127,35,392,158,3,"['Tbx3', 'Dlk1', 'Dlx1']",0.0299906693398952
109 LGv-ZI Otx2 Gaba,850,0.3602533650039588,0.2141176470588235,0.4343675417661098,248625,237,668,182,3,"['Otx2os1', 'Zfp503', 'Zic1']",0.0249623488634824
110 BST-po Iigp1 Glut,50,0.7377049180327868,0.36,1.0,249662,0,32,18,2,"['Gm34609', '4930438E09Rik']",0.5712094306945801
111 TRS-BAC Sln Glut,229,0.7520661157024794,0.3973799126637554,0.9680851063829788,249480,3,138,91,2,"['Sln', 'Ctxn3']",0.2975545823574066
112 GPi Tbr1 Cngb3 Gaba-Glut,150,0.7412060301507537,0.3933333333333333,0.9516129032258064,249559,3,91,59,3,"['Cngb3', 'Pax6', 'Tbr1']",0.0551364794373512
113 MEA-COA-BMA Ccdc42 Glut,796,0.3371934604904633,0.1243718592964824,0.5892857142857143,248847,69,697,99,3,"['Tmem215', 'Iqgap2', 'Zbtb7c']",0.035201821476221
114 COAa-PAA-MEA Barhl2 Glut,1950,0.5402830702231899,0.2035897435897435,0.9211136890951276,247728,34,1553,397,3,"['Barhl2', 'Tbr1', 'Rprml']",0.0212577134370803
115 MS-SF Bsx Glut,855,0.7322175732217573,0.3684210526315789,0.9722222222222222,248848,9,540,315,3,"['Bmp7', 'Onecut1', 'Isl1']",0.0699861049652099
116 AVPV-MEPO-SFO Tbr1 Glut,1257,0.6562780940964938,0.3484486873508353,0.8423076923076923,248373,82,819,438,2,"['Gng8', 'Tbr1']",0.1301288455724716
117 LHA Barhl2 Glut,666,0.33003300330033,0.1801801801801801,0.4166666666666667,248878,168,546,120,4,"['Tbr1', 'Cbln1', 'Lhx1os', 'Calb2']",0.0149976909160614
118 ADP-MPO Trp73 Glut,871,0.7731186821415199,0.4741676234213547,0.9177777777777778,248804,37,458,413,2,"['Trp73', 'Tmem132c']",0.1383640170097351
119 SI-MA-LPO-LHA Skor1 Glut,3392,0.6114918292040064,0.2735849056603773,0.8846520495710201,246199,121,2464,928,3,"['Dmrta2', 'Gm29683', 'Tbr1']",0.0464821644127368
120 MEA Otp Foxp2 Glut,250,0.5749128919860625,0.264,0.8148148148148148,249447,15,184,66,3,"['Calcrl', '6530403H02Rik', 'Calb2']",0.0644094571471214
121 MEA-BST Otp Zic2 Glut,468,0.6158088235294116,0.2863247863247863,0.864516129032258,249223,21,334,134,3,"['Sim1', 'Zic2', 'Cxcl14']",0.044504065066576
122 LHA-MEA Otp Glut,337,0.651644336175396,0.3175074183976261,0.8842975206611571,249361,14,230,107,4,"['Pth2r', 'Sim1', 'Otp', 'Penk']",0.0591227486729621
123 DMH Nkx2-4 Glut,300,0.693717277486911,0.3533333333333333,0.913793103448276,249402,10,194,106,2,"['Ppp1r17', 'Pdyn']",0.1802135556936264
124 MPN-MPO-PVpo Hmx2 Glut,1600,0.5013888888888889,0.225625,0.722,247973,139,1239,361,4,"['Sfta3-ps', 'Stk32a', '3110039M20Rik', 'Tmem132c']",0.0272231008857488
125 DMH Hmx2 Glut,550,0.6348637015781923,0.3218181818181818,0.8388625592417062,249128,34,373,177,3,"['Isl1', 'Ntng2', 'Rorb']",0.0313735716044902
126 ARH-PVp Tbx3 Glut,541,0.502476999292286,0.2624768946395563,0.6513761467889908,249095,76,399,142,2,"['Tbx3', 'Pdyn']",0.1291409432888031
127 DMH-LHA Vgll2 Glut,235,0.7092819614711032,0.3446808510638298,0.9642857142857144,249474,3,154,81,3,"['Rfx4', 'Lhx9', 'C1ql3']",0.0252099055796861
128 VMH Fezf1 Glut,550,0.5817378497790869,0.2872727272727273,0.7821782178217822,249118,44,392,158,3,"['Fezf1', 'Sfta3-ps', 'Gm2694']",0.0569238513708114
129 VMH Nr5a1 Glut,950,0.6983805668016194,0.3631578947368421,0.9078947368421052,248727,35,605,345,2,"['Nr5a1', 'Cbln1']",0.5101985335350037
130 LHA Pmch Glut,250,0.9099804305283756,0.744,0.9637305699481864,249455,7,64,186,1,['Pmch'],1.0
131 LHA-AHN-PVH Otp Trh Glut,750,0.548397234443746,0.4653333333333333,0.5740131578947368,248703,259,401,349,2,"['Trh', 'Sim1']",0.1892466247081756
132 AHN-RCH-LHA Otp Fezf1 Glut,1142,0.6099706744868034,0.3642732049036777,0.7336860670194003,248419,151,726,416,3,"['Fezf1', 'Otp', 'Adcyap1']",0.0449998565018177
133 PVH-SO-PVa Otp Glut,1138,0.5311890838206628,0.2873462214411247,0.6742268041237114,248416,158,811,327,3,"['Sim1', 'Otp', 'Fign']",0.046826783567667
134 PH-ant-LHA Otp Bsx Glut,1997,0.7618965813434119,0.4441662493740611,0.9278242677824268,247646,69,1110,887,2,"['Bsx', 'Sim1']",0.1160833239555358
135 STN-PSTN Pitx2 Glut,1535,0.7839218298911838,0.4599348534201954,0.9514824797843666,248141,36,829,706,2,"['Cdh23', 'Pitx2']",0.1443863213062286
136 PMv-TMv Pitx2 Glut,700,0.4930904522613065,0.2242857142857142,0.7040358744394619,248946,66,543,157,3,"['Crnde', 'Tac1', 'Nos1']",0.0587022677063941
137 PH-an Pitx2 Glut,327,0.6785370548604428,0.4311926605504587,0.7921348314606742,249348,37,186,141,2,"['Calcr', 'Pax7']",0.1298747509717941
138 PH Pitx2 Glut,807,0.3779963122311002,0.1524163568773234,0.6,248823,82,684,123,4,"['Lmx1a', 'Nr4a2', '2700069I18Rik', 'Nos1']",0.0223932787775993
139 PH-LHA Foxb1 Glut,1178,0.5465502909393184,0.2232597623089983,0.8566775244299675,248490,44,915,263,3,"['Pitx2', 'B230323A14Rik', 'Prlr']",0.1110989674925804
140 PMd-LHA Foxb1 Glut,700,0.6274509803921569,0.3657142857142857,0.764179104477612,248933,79,444,256,3,"['Foxb1', 'Emx2os', 'Sfta3-ps']",0.0770976394414901
141 PH-SUM Foxa1 Glut,1398,0.5967946014339941,0.4048640915593705,0.6770334928229665,248044,270,832,566,3,"['Pitx2', 'Lmx1a', 'Nr4a2']",0.1119830608367919
142 HY Gnrh1 Glut,50,0.9917355371900828,0.96,1.0,249662,0,2,48,1,['Gnrh1'],1.0
143 MM-ant Foxb1 Glut,300,0.646551724137931,0.3,0.9090909090909092,249403,9,210,90,3,"['Pitx2', 'Ctxn3', 'Gpr83']",0.0878972485661506
144 MM Foxb1 Glut,350,0.8318739054290717,0.5428571428571428,0.9595959595959596,249354,8,160,190,2,"['Foxb1', 'Sall3']",0.1179102584719657
145 MH Tac2 Glut,1042,0.8788501026694046,0.8214971209213052,0.8944618599791013,248569,101,186,856,1,['Gm5741'],1.0
146 LH Pou4f1 Sox1 Glut,700,0.5913173652694611,0.2257142857142857,0.9937106918238994,249011,1,542,158,3,"['Kcnh8', 'Sox1', 'Nr4a2']",0.0373964458703994
147 AD Serpinb7 Glut,100,0.8676470588235293,0.59,0.9833333333333332,249611,1,41,59,2,"['C1ql2', 'Col27a1']",0.2033866345882415
148 AV Col27a1 Glut,100,0.7056451612903225,0.35,0.945945945945946,249610,2,65,35,3,"['Npsr1', 'Col27a1', 'Synpo2']",0.147636666893959
149 PVT-PT Ntrk1 Glut,792,0.5296610169491526,0.2209595959595959,0.813953488372093,248880,40,617,175,3,"['Kcnj5', 'Gbx2', 'Zic5']",0.100781999528408
150 CM-IAD-CL-PCN Sema5b Glut,750,0.6009334889148192,0.2746666666666666,0.8547717842323651,248927,35,544,206,3,"['Col12a1', 'Gbx2', 'C1ql3']",0.0963305607438087
