cell_set_accession	cell_label	Add_to_CL
CS20230722_SUBC_078	078 SI-MA-ACB Ebf1 Bnc2 Gaba	
CS20230722_SUBC_079	079 CEA-BST Six3 Cyp26b1 Gaba	
CS20230722_SUBC_080	080 CEA-AAA-BST Six3 Sp9 Gaba	
CS20230722_SUBC_081	081 ACB-BST-FS D1 Gaba	
CS20230722_SUBC_082	082 CEA-BST Ebf1 Pdyn Gaba	
CS20230722_SUBC_083	083 CEA-BST Rai14 Pdyn Crh Gaba	
CS20230722_SUBC_084	084 BST-SI-AAA Six3 Slc22a3 Gaba	
CS20230722_SUBC_085	085 SI-MPO-LPO Lhx8 Gaba	
CS20230722_SUBC_086	086 MPO-ADP Lhx8 Gaba	
CS20230722_SUBC_087	087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba	
CS20230722_SUBC_088	088 BST Tac2 Gaba	
CS20230722_SUBC_089	089 PVR Six3 Sox3 Gaba	
CS20230722_SUBC_090	090 BST-MPN Six3 Nrgn Gaba	
CS20230722_SUBC_091	091 ARH-PVi Six6 Dopa-Gaba	
CS20230722_SUBC_092	092 TMv-PMv Tbx3 Hist-Gaba	
CS20230722_SUBC_093	093 RT-ZI Gnb3 Gaba	
CS20230722_SUBC_094	094 SCH Six6 Cdc14a Gaba	
CS20230722_SUBC_095	095 DMH Prdm13 Gaba	
CS20230722_SUBC_096	096 PVHd Gsc Gaba	
CS20230722_SUBC_097	097 PVHd-SBPV Six3 Prox1 Gaba	
CS20230722_SUBC_098	098 AHN-SBPV-PVHd Pdrm12 Gaba	
CS20230722_SUBC_099	099 SBPV-PVa Six6 Satb2 Gaba	
CS20230722_SUBC_100	100 AHN Onecut3 Gaba	
CS20230722_SUBC_101	101 ZI Pax6 Gaba	
CS20230722_SUBC_102	102 DMH-LHA Gsx1 Gaba	
CS20230722_SUBC_103	103 PVHd-DMH Lhx6 Gaba	
CS20230722_SUBC_104	104 TU-ARH Otp Six6 Gaba	
CS20230722_SUBC_105	105 TMd-DMH Foxd2 Gaba	
CS20230722_SUBC_106	106 PVpo-VMPO-MPN Hmx2 Gaba	
CS20230722_SUBC_107	107 DMH Hmx2 Gaba	
CS20230722_SUBC_108	108 ARH-PVp Tbx3 Gaba	
CS20230722_SUBC_109	109 LGv-ZI Otx2 Gaba	
CS20230722_SUBC_110	110 BST-po Iigp1 Glut	
CS20230722_SUBC_111	111 TRS-BAC Sln Glut	
CS20230722_SUBC_112	112 GPi Tbr1 Cngb3 Gaba-Glut	
CS20230722_SUBC_113	113 MEA-COA-BMA Ccdc42 Glut	
CS20230722_SUBC_114	114 COAa-PAA-MEA Barhl2 Glut	
CS20230722_SUBC_115	115 MS-SF Bsx Glut	
CS20230722_SUBC_116	116 AVPV-MEPO-SFO Tbr1 Glut	
CS20230722_SUBC_117	117 LHA Barhl2 Glut	
CS20230722_SUBC_118	118 ADP-MPO Trp73 Glut	
CS20230722_SUBC_119	119 SI-MA-LPO-LHA Skor1 Glut	
CS20230722_SUBC_120	120 MEA Otp Foxp2 Glut	
CS20230722_SUBC_121	121 MEA-BST Otp Zic2 Glut	
CS20230722_SUBC_122	122 LHA-MEA Otp Glut	
CS20230722_SUBC_123	123 DMH Nkx2-4 Glut	
CS20230722_SUBC_124	124 MPN-MPO-PVpo Hmx2 Glut	
CS20230722_SUBC_125	125 DMH Hmx2 Glut	
CS20230722_SUBC_126	126 ARH-PVp Tbx3 Glut	
CS20230722_SUBC_127	127 DMH-LHA Vgll2 Glut	
CS20230722_SUBC_128	128 VMH Fezf1 Glut	
