cell_set_accession	cell_label	Add_to_CL
CS20230722_CLUS_0207	0207 MEA Slc17a7 Glut_2	
CS20230722_CLUS_0208	0208 MEA Slc17a7 Glut_2	
CS20230722_CLUS_0209	0209 MEA Slc17a7 Glut_2	
CS20230722_CLUS_0210	0210 MEA Slc17a7 Glut_2	
CS20230722_CLUS_0211	0211 MEA Slc17a7 Glut_2	
CS20230722_CLUS_0212	0212 MEA Slc17a7 Glut_2	
CS20230722_CLUS_0213	0213 MEA Slc17a7 Glut_3	
CS20230722_CLUS_0214	0214 MEA Slc17a7 Glut_3	
CS20230722_CLUS_0215	0215 COAp Grxcr2 Glut_1	
CS20230722_CLUS_0216	0216 COAp Grxcr2 Glut_2	
CS20230722_CLUS_0217	0217 COAp Grxcr2 Glut_2	
CS20230722_CLUS_0218	0218 COAp Grxcr2 Glut_2	
CS20230722_CLUS_0219	0219 COAp Grxcr2 Glut_2	
CS20230722_CLUS_0220	0220 COAp Grxcr2 Glut_2	
CS20230722_CLUS_0221	0221 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0222	0222 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0223	0223 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0224	0224 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0225	0225 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0226	0226 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0227	0227 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0228	0228 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0229	0229 LA-BLA-BMA-PA Glut_1	
CS20230722_CLUS_0230	0230 LA-BLA-BMA-PA Glut_2	
CS20230722_CLUS_0231	0231 LA-BLA-BMA-PA Glut_2	
CS20230722_CLUS_0232	0232 LA-BLA-BMA-PA Glut_2	
CS20230722_CLUS_0233	0233 LA-BLA-BMA-PA Glut_2	
CS20230722_CLUS_0234	0234 LA-BLA-BMA-PA Glut_2	
CS20230722_CLUS_0235	0235 LA-BLA-BMA-PA Glut_2	
CS20230722_CLUS_0236	0236 LA-BLA-BMA-PA Glut_3	
CS20230722_CLUS_0237	0237 LA-BLA-BMA-PA Glut_3	
CS20230722_CLUS_0238	0238 LA-BLA-BMA-PA Glut_3	
CS20230722_CLUS_0239	0239 LA-BLA-BMA-PA Glut_3	
CS20230722_CLUS_0240	0240 LA-BLA-BMA-PA Glut_3	
CS20230722_CLUS_0241	0241 LA-BLA-BMA-PA Glut_4	
CS20230722_CLUS_0242	0242 LA-BLA-BMA-PA Glut_4	
CS20230722_CLUS_0243	0243 LA-BLA-BMA-PA Glut_4	
CS20230722_CLUS_0244	0244 LA-BLA-BMA-PA Glut_4	
CS20230722_CLUS_0245	0245 LA-BLA-BMA-PA Glut_5	
CS20230722_CLUS_0246	0246 LA-BLA-BMA-PA Glut_5	
CS20230722_CLUS_0247	0247 LA-BLA-BMA-PA Glut_5	
CS20230722_CLUS_0248	0248 LA-BLA-BMA-PA Glut_5	
CS20230722_CLUS_0249	0249 LA-BLA-BMA-PA Glut_6	
CS20230722_CLUS_0250	0250 LA-BLA-BMA-PA Glut_6	
CS20230722_CLUS_0251	0251 LA-BLA-BMA-PA Glut_6	
CS20230722_CLUS_0252	0252 ENTmv-PA-COAp Glut_1	
CS20230722_CLUS_0253	0253 ENTmv-PA-COAp Glut_1	
CS20230722_CLUS_0254	0254 ENTmv-PA-COAp Glut_1	
CS20230722_CLUS_0255	0255 ENTmv-PA-COAp Glut_1	
CS20230722_CLUS_0256	0256 ENTmv-PA-COAp Glut_2	
CS20230722_CLUS_0257	0257 ENTmv-PA-COAp Glut_2	
CS20230722_CLUS_0258	0258 ENTmv-PA-COAp Glut_2	
CS20230722_CLUS_0259	0259 ENTmv-PA-COAp Glut_3	
CS20230722_CLUS_0260	0260 ENTmv-PA-COAp Glut_3	
CS20230722_CLUS_0261	0261 CA1-ProS Glut_1	
CS20230722_CLUS_0262	0262 CA1-ProS Glut_1	
CS20230722_CLUS_0263	0263 CA1-ProS Glut_1	
CS20230722_CLUS_0264	0264 CA1-ProS Glut_1	
CS20230722_CLUS_0265	0265 CA1-ProS Glut_1	
CS20230722_CLUS_0266	0266 CA1-ProS Glut_1	
CS20230722_CLUS_0267	0267 CA1-ProS Glut_1	
CS20230722_CLUS_0268	0268 CA1-ProS Glut_1	
CS20230722_CLUS_0269	0269 CA1-ProS Glut_1	
CS20230722_CLUS_0270	0270 CA1-ProS Glut_1	
CS20230722_CLUS_0271	0271 CA1-ProS Glut_2	
CS20230722_CLUS_0272	0272 CA1-ProS Glut_2	
CS20230722_CLUS_0273	0273 CA1-ProS Glut_2	
CS20230722_CLUS_0274	0274 CA1-ProS Glut_2	
CS20230722_CLUS_0275	0275 CA1-ProS Glut_2	
CS20230722_CLUS_0276	0276 CA1-ProS Glut_2	
CS20230722_CLUS_0277	0277 CA1-ProS Glut_2	
CS20230722_CLUS_0278	0278 CA1-ProS Glut_3	
CS20230722_CLUS_0279	0279 CA1-ProS Glut_3	
CS20230722_CLUS_0280	0280 CA1-ProS Glut_3	
CS20230722_CLUS_0281	0281 CA1-ProS Glut_3	
CS20230722_CLUS_0282	0282 CA1-ProS Glut_3	
CS20230722_CLUS_0283	0283 CA1-ProS Glut_3	
CS20230722_CLUS_0284	0284 CA1-ProS Glut_4	
CS20230722_CLUS_0285	0285 CA1-ProS Glut_4	
CS20230722_CLUS_0286	0286 CA1-ProS Glut_4	
CS20230722_CLUS_0287	0287 CA1-ProS Glut_4	
CS20230722_CLUS_0288	0288 CA1-ProS Glut_4	
CS20230722_CLUS_0289	0289 CA1-ProS Glut_5	
CS20230722_CLUS_0290	0290 CA1-ProS Glut_5	
CS20230722_CLUS_0291	0291 CA1-ProS Glut_5	
CS20230722_CLUS_0292	0292 CA1-ProS Glut_5	
CS20230722_CLUS_0293	0293 CA1-ProS Glut_6	
CS20230722_CLUS_0294	0294 CA1-ProS Glut_6	
CS20230722_CLUS_0295	0295 CA1-ProS Glut_6	
CS20230722_CLUS_0296	0296 CA3 Glut_1	
CS20230722_CLUS_0297	0297 CA3 Glut_1	
CS20230722_CLUS_0298	0298 CA3 Glut_1	
CS20230722_CLUS_0299	0299 CA3 Glut_1	
CS20230722_CLUS_0300	0300 CA3 Glut_1	
CS20230722_CLUS_0301	0301 CA3 Glut_1	
CS20230722_CLUS_0302	0302 CA3 Glut_2	
CS20230722_CLUS_0303	0303 CA3 Glut_2	
CS20230722_CLUS_0304	0304 CA3 Glut_2	
CS20230722_CLUS_0305	0305 CA3 Glut_2	
CS20230722_CLUS_0306	0306 CA3 Glut_2	
CS20230722_CLUS_0307	0307 CA3 Glut_3	
CS20230722_CLUS_0308	0308 CA3 Glut_3	
CS20230722_CLUS_0309	0309 CA3 Glut_3	
CS20230722_CLUS_0310	0310 CA3 Glut_3	
CS20230722_CLUS_0311	0311 CA3 Glut_3	
CS20230722_CLUS_0312	0312 CA3 Glut_3	
CS20230722_CLUS_0313	0313 CA3 Glut_4	
CS20230722_CLUS_0314	0314 CA3 Glut_4	
CS20230722_CLUS_0315	0315 CA3 Glut_4	
CS20230722_CLUS_0316	0316 CA3 Glut_5	
CS20230722_CLUS_0317	0317 CA3 Glut_5	
CS20230722_CLUS_0318	0318 L2 IT PPP-APr Glut_1	
CS20230722_CLUS_0319	0319 L2 IT PPP-APr Glut_1	
CS20230722_CLUS_0320	0320 L2 IT PPP-APr Glut_1	
CS20230722_CLUS_0321	0321 L2 IT PPP-APr Glut_1	
CS20230722_CLUS_0322	0322 L2 IT PPP-APr Glut_2	
CS20230722_CLUS_0323	0323 L2 IT PPP-APr Glut_2	
CS20230722_CLUS_0324	0324 L2 IT PPP-APr Glut_2	
CS20230722_CLUS_0325	0325 L2 IT PPP-APr Glut_2	
CS20230722_CLUS_0326	0326 L2 IT PPP-APr Glut_3	
CS20230722_CLUS_0327	0327 L2 IT PPP-APr Glut_3	
CS20230722_CLUS_0328	0328 L2 IT PPP-APr Glut_4	
CS20230722_CLUS_0329	0329 L2/3 IT PPP Glut_1	
CS20230722_CLUS_0330	0330 L2/3 IT PPP Glut_1	
CS20230722_CLUS_0331	0331 L2/3 IT PPP Glut_1	
CS20230722_CLUS_0332	0332 L2/3 IT PPP Glut_1	
CS20230722_CLUS_0333	0333 L2/3 IT PPP Glut_2	
CS20230722_CLUS_0334	0334 L2/3 IT PPP Glut_2	
CS20230722_CLUS_0335	0335 L2/3 IT PPP Glut_2	
CS20230722_CLUS_0336	0336 L2/3 IT PPP Glut_2	
CS20230722_CLUS_0337	0337 L2/3 IT PPP Glut_3	
CS20230722_CLUS_0338	0338 L2/3 IT PPP Glut_3	
CS20230722_CLUS_0339	0339 L2/3 IT PPP Glut_3	
CS20230722_CLUS_0340	0340 L2/3 IT PPP Glut_3	
CS20230722_CLUS_0341	0341 L2/3 IT PPP Glut_3	
CS20230722_CLUS_0342	0342 L2/3 IT RSP Glut_1	
CS20230722_CLUS_0343	0343 L2/3 IT RSP Glut_2	
CS20230722_CLUS_0344	0344 L2/3 IT RSP Glut_2	
CS20230722_CLUS_0345	0345 L2/3 IT RSP Glut_2	
CS20230722_CLUS_0346	0346 L2/3 IT RSP Glut_2	
CS20230722_CLUS_0347	0347 L4 RSP-ACA Glut_1	
CS20230722_CLUS_0348	0348 L4 RSP-ACA Glut_1	
CS20230722_CLUS_0349	0349 L5 ET CTX Glut_1	
CS20230722_CLUS_0350	0350 L5 ET CTX Glut_1	
CS20230722_CLUS_0351	0351 L5 ET CTX Glut_1	
CS20230722_CLUS_0352	0352 L5 ET CTX Glut_1	
CS20230722_CLUS_0353	0353 L5 ET CTX Glut_1	
CS20230722_CLUS_0354	0354 L5 ET CTX Glut_1	
CS20230722_CLUS_0355	0355 L5 ET CTX Glut_1	
CS20230722_CLUS_0356	0356 L5 ET CTX Glut_1	
CS20230722_CLUS_0357	0357 L5 ET CTX Glut_1	
CS20230722_CLUS_0358	0358 L5 ET CTX Glut_1	
CS20230722_CLUS_0359	0359 L5 ET CTX Glut_2	
CS20230722_CLUS_0360	0360 L5 ET CTX Glut_2	
CS20230722_CLUS_0361	0361 L5 ET CTX Glut_2	
CS20230722_CLUS_0362	0362 L5 ET CTX Glut_2	
CS20230722_CLUS_0363	0363 L5 ET CTX Glut_2	
CS20230722_CLUS_0364	0364 L5 ET CTX Glut_2	
CS20230722_CLUS_0365	0365 L5 ET CTX Glut_3	
CS20230722_CLUS_0366	0366 L5 ET CTX Glut_3	
CS20230722_CLUS_0367	0367 L5 ET CTX Glut_3	
CS20230722_CLUS_0368	0368 L5 ET CTX Glut_3	
CS20230722_CLUS_0369	0369 L5 ET CTX Glut_3	
CS20230722_CLUS_0370	0370 L5 ET CTX Glut_4	
CS20230722_CLUS_0371	0371 L5 ET CTX Glut_4	
CS20230722_CLUS_0372	0372 L5 ET CTX Glut_4	
CS20230722_CLUS_0373	0373 L5 ET CTX Glut_4	
CS20230722_CLUS_0374	0374 L5 ET CTX Glut_4	
CS20230722_CLUS_0375	0375 L5 ET CTX Glut_5	
CS20230722_CLUS_0376	0376 L5 ET CTX Glut_5	
CS20230722_CLUS_0377	0377 L5 ET CTX Glut_5	
CS20230722_CLUS_0378	0378 L5 ET CTX Glut_5	
CS20230722_CLUS_0379	0379 L5 ET CTX Glut_6	
CS20230722_CLUS_0380	0380 L5 ET CTX Glut_6	
CS20230722_CLUS_0381	0381 L5 ET CTX Glut_6	
CS20230722_CLUS_0382	0382 L5 ET CTX Glut_6	
CS20230722_CLUS_0383	0383 SUB-ProS Glut_1	
CS20230722_CLUS_0384	0384 SUB-ProS Glut_1	
CS20230722_CLUS_0385	0385 SUB-ProS Glut_1	
CS20230722_CLUS_0386	0386 SUB-ProS Glut_1	
CS20230722_CLUS_0387	0387 SUB-ProS Glut_1	
CS20230722_CLUS_0388	0388 SUB-ProS Glut_2	
CS20230722_CLUS_0389	0389 SUB-ProS Glut_2	
CS20230722_CLUS_0390	0390 SUB-ProS Glut_2	
CS20230722_CLUS_0391	0391 SUB-ProS Glut_2	
CS20230722_CLUS_0392	0392 SUB-ProS Glut_2	
CS20230722_CLUS_0393	0393 SUB-ProS Glut_2	
CS20230722_CLUS_0394	0394 SUB-ProS Glut_3	
CS20230722_CLUS_0395	0395 SUB-ProS Glut_3	
CS20230722_CLUS_0396	0396 SUB-ProS Glut_3	
CS20230722_CLUS_0397	0397 SUB-ProS Glut_3	
CS20230722_CLUS_0398	0398 L5 PPP Glut_1	
CS20230722_CLUS_0399	0399 CA2-FC-IG Glut_1	
CS20230722_CLUS_0400	0400 CA2-FC-IG Glut_2	
CS20230722_CLUS_0401	0401 CA2-FC-IG Glut_2	
CS20230722_CLUS_0402	0402 NLOT Rho Glut_1	
CS20230722_CLUS_0403	0403 L6b EPd Glut_1	
CS20230722_CLUS_0404	0404 L6b EPd Glut_1	
CS20230722_CLUS_0405	0405 L6b EPd Glut_2	
CS20230722_CLUS_0406	0406 L6b EPd Glut_2	
CS20230722_CLUS_0407	0407 L6b EPd Glut_3	
CS20230722_CLUS_0408	0408 L6b EPd Glut_3	
CS20230722_CLUS_0409	0409 L6b EPd Glut_3	
CS20230722_CLUS_0410	0410 L6b/CT ENT Glut_1	
CS20230722_CLUS_0411	0411 L6b/CT ENT Glut_1	
CS20230722_CLUS_0412	0412 L6b/CT ENT Glut_1	
CS20230722_CLUS_0413	0413 L6b/CT ENT Glut_1	
CS20230722_CLUS_0414	0414 L6b/CT ENT Glut_2	
CS20230722_CLUS_0415	0415 L6b/CT ENT Glut_2	
CS20230722_CLUS_0416	0416 L6b/CT ENT Glut_2	
CS20230722_CLUS_0417	0417 L6b/CT ENT Glut_2	
CS20230722_CLUS_0418	0418 L6b/CT ENT Glut_3	
CS20230722_CLUS_0419	0419 L6b/CT ENT Glut_3	
CS20230722_CLUS_0420	0420 L6b/CT ENT Glut_3	
CS20230722_CLUS_0421	0421 L6b/CT ENT Glut_4	
CS20230722_CLUS_0422	0422 L6b/CT ENT Glut_4	
CS20230722_CLUS_0423	0423 L6b/CT ENT Glut_4	
CS20230722_CLUS_0424	0424 L6b CTX Glut_1	
CS20230722_CLUS_0425	0425 L6b CTX Glut_1	
CS20230722_CLUS_0426	0426 L6b CTX Glut_1	
CS20230722_CLUS_0427	0427 L6b CTX Glut_2	
CS20230722_CLUS_0428	0428 L6b CTX Glut_2	
CS20230722_CLUS_0429	0429 L6b CTX Glut_2	
CS20230722_CLUS_0430	0430 L6b CTX Glut_2	
CS20230722_CLUS_0431	0431 L6b CTX Glut_3	
CS20230722_CLUS_0432	0432 L6b CTX Glut_3	
CS20230722_CLUS_0433	0433 L6b CTX Glut_3	
CS20230722_CLUS_0434	0434 L6b CTX Glut_3	
CS20230722_CLUS_0435	0435 L6b CTX Glut_4	
CS20230722_CLUS_0436	0436 L6 CT CTX Glut_1	
CS20230722_CLUS_0437	0437 L6 CT CTX Glut_1	
CS20230722_CLUS_0438	0438 L6 CT CTX Glut_1	
CS20230722_CLUS_0439	0439 L6 CT CTX Glut_1	
CS20230722_CLUS_0440	0440 L6 CT CTX Glut_1	
CS20230722_CLUS_0441	0441 L6 CT CTX Glut_2	
CS20230722_CLUS_0442	0442 L6 CT CTX Glut_2	
CS20230722_CLUS_0443	0443 L6 CT CTX Glut_2	
CS20230722_CLUS_0444	0444 L6 CT CTX Glut_2	
CS20230722_CLUS_0445	0445 L6 CT CTX Glut_3	
CS20230722_CLUS_0446	0446 L6 CT CTX Glut_3	
CS20230722_CLUS_0447	0447 L6 CT CTX Glut_3	
CS20230722_CLUS_0448	0448 L6 CT CTX Glut_3	
CS20230722_CLUS_0449	0449 L6 CT CTX Glut_3	
CS20230722_CLUS_0450	0450 L6 CT CTX Glut_4	
CS20230722_CLUS_0451	0451 L6 CT CTX Glut_5	
CS20230722_CLUS_0452	0452 L6 CT CTX Glut_5	
CS20230722_CLUS_0453	0453 L6 CT CTX Glut_5	
CS20230722_CLUS_0454	0454 L6 CT CTX Glut_5	
CS20230722_CLUS_0455	0455 L6 CT CTX Glut_5	
CS20230722_CLUS_0456	0456 L6 CT CTX Glut_5	
CS20230722_CLUS_0457	0457 L6 CT CTX Glut_6	
CS20230722_CLUS_0458	0458 CT SUB Glut_1	
CS20230722_CLUS_0459	0459 CT SUB Glut_2	
CS20230722_CLUS_0460	0460 CT SUB Glut_2	
CS20230722_CLUS_0461	0461 L5 NP CTX Glut_1	
CS20230722_CLUS_0462	0462 L5 NP CTX Glut_1	
CS20230722_CLUS_0463	0463 L5 NP CTX Glut_1	
CS20230722_CLUS_0464	0464 L5 NP CTX Glut_2	
CS20230722_CLUS_0465	0465 L5 NP CTX Glut_2	
CS20230722_CLUS_0466	0466 L5 NP CTX Glut_2	
CS20230722_CLUS_0467	0467 L5 NP CTX Glut_2	
CS20230722_CLUS_0468	0468 L5 NP CTX Glut_3	
CS20230722_CLUS_0469	0469 L5 NP CTX Glut_3	
CS20230722_CLUS_0470	0470 L5 NP CTX Glut_3	
CS20230722_CLUS_0471	0471 L5 NP CTX Glut_3	
CS20230722_CLUS_0472	0472 L5 NP CTX Glut_4	
CS20230722_CLUS_0473	0473 L5 NP CTX Glut_4	
CS20230722_CLUS_0474	0474 L5 NP CTX Glut_4	
CS20230722_CLUS_0475	0475 L5 NP CTX Glut_5	
CS20230722_CLUS_0476	0476 L5 NP CTX Glut_5	
CS20230722_CLUS_0477	0477 NP SUB Glut_1	
CS20230722_CLUS_0478	0478 NP SUB Glut_1	
CS20230722_CLUS_0479	0479 NP SUB Glut_2	
CS20230722_CLUS_0480	0480 NP SUB Glut_2	
CS20230722_CLUS_0481	0481 NP SUB Glut_2	
CS20230722_CLUS_0482	0482 NP SUB Glut_2	
CS20230722_CLUS_0483	0483 NP PPP Glut_1	
CS20230722_CLUS_0484	0484 NP PPP Glut_1	
CS20230722_CLUS_0485	0485 NP PPP Glut_1	
CS20230722_CLUS_0486	0486 OB Eomes Ms4a15 Glut_1	
CS20230722_CLUS_0487	0487 OB Eomes Ms4a15 Glut_1	
CS20230722_CLUS_0488	0488 OB Eomes Ms4a15 Glut_2	
CS20230722_CLUS_0489	0489 OB Eomes Ms4a15 Glut_2	
CS20230722_CLUS_0490	0490 OB Eomes Ms4a15 Glut_2	
CS20230722_CLUS_0491	0491 OB Eomes Ms4a15 Glut_2	
CS20230722_CLUS_0492	0492 OB Eomes Ms4a15 Glut_3	
CS20230722_CLUS_0493	0493 OB Eomes Ms4a15 Glut_3	
CS20230722_CLUS_0494	0494 OB Eomes Ms4a15 Glut_4	
CS20230722_CLUS_0495	0495 OB Eomes Ms4a15 Glut_5	
CS20230722_CLUS_0496	0496 OB Eomes Ms4a15 Glut_5	
CS20230722_CLUS_0497	0497 HPF CR Glut_1	
CS20230722_CLUS_0498	0498 HPF CR Glut_1	
CS20230722_CLUS_0499	0499 HPF CR Glut_1	
CS20230722_CLUS_0500	0500 HPF CR Glut_1	
CS20230722_CLUS_0501	0501 HPF CR Glut_1	
CS20230722_CLUS_0502	0502 DG Glut_1	
CS20230722_CLUS_0503	0503 DG Glut_1	
CS20230722_CLUS_0504	0504 DG Glut_1	
CS20230722_CLUS_0505	0505 DG Glut_2	
CS20230722_CLUS_0506	0506 DG Glut_2	
CS20230722_CLUS_0507	0507 DG Glut_2	
CS20230722_CLUS_0508	0508 DG Glut_3	
CS20230722_CLUS_0509	0509 DG Glut_3	
CS20230722_CLUS_0510	0510 DG Glut_4	
CS20230722_CLUS_0511	0511 DG-PIR Ex IMN_1	
CS20230722_CLUS_0512	0512 DG-PIR Ex IMN_2	
CS20230722_CLUS_0513	0513 DG-PIR Ex IMN_2	
CS20230722_CLUS_0514	0514 DG-PIR Ex IMN_2	
CS20230722_CLUS_0515	0515 DG-PIR Ex IMN_2	
CS20230722_CLUS_0516	0516 DG-PIR Ex IMN_3	
CS20230722_CLUS_0517	0517 DG-PIR Ex IMN_3	
CS20230722_CLUS_0518	0518 OB Meis2 Thsd7b Gaba_1	
CS20230722_CLUS_0519	0519 OB Meis2 Thsd7b Gaba_1	
CS20230722_CLUS_0520	0520 OB Meis2 Thsd7b Gaba_1	
CS20230722_CLUS_0521	0521 OB Meis2 Thsd7b Gaba_2	
CS20230722_CLUS_0522	0522 OB Meis2 Thsd7b Gaba_2	
CS20230722_CLUS_0523	0523 OB Meis2 Thsd7b Gaba_2	
CS20230722_CLUS_0524	0524 OB Meis2 Thsd7b Gaba_2	
CS20230722_CLUS_0525	0525 OB Meis2 Thsd7b Gaba_3	
CS20230722_CLUS_0526	0526 OB Meis2 Thsd7b Gaba_4	
CS20230722_CLUS_0527	0527 OB Meis2 Thsd7b Gaba_5	
CS20230722_CLUS_0528	0528 OB Meis2 Thsd7b Gaba_5	
CS20230722_CLUS_0529	0529 OB Trdn Gaba_1	
CS20230722_CLUS_0530	0530 OB Trdn Gaba_2	
CS20230722_CLUS_0531	0531 OB Trdn Gaba_2	
CS20230722_CLUS_0532	0532 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0533	0533 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0534	0534 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0535	0535 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0536	0536 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0537	0537 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0538	0538 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0539	0539 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0540	0540 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0541	0541 OB-in Frmd7 Gaba_1	
CS20230722_CLUS_0542	0542 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0543	0543 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0544	0544 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0545	0545 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0546	0546 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0547	0547 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0548	0548 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0549	0549 OB-in Frmd7 Gaba_2	
CS20230722_CLUS_0550	0550 OB-in Frmd7 Gaba_3	
CS20230722_CLUS_0551	0551 OB-in Frmd7 Gaba_3	
CS20230722_CLUS_0552	0552 OB-in Frmd7 Gaba_3	
CS20230722_CLUS_0553	0553 OB-in Frmd7 Gaba_3	
CS20230722_CLUS_0554	0554 OB-in Frmd7 Gaba_3	
CS20230722_CLUS_0555	0555 OB-in Frmd7 Gaba_4	
CS20230722_CLUS_0556	0556 OB-in Frmd7 Gaba_4	
CS20230722_CLUS_0557	0557 OB-in Frmd7 Gaba_4	
CS20230722_CLUS_0558	0558 OB-in Frmd7 Gaba_4	
CS20230722_CLUS_0559	0559 OB-in Frmd7 Gaba_5	
CS20230722_CLUS_0560	0560 OB-in Frmd7 Gaba_5	
CS20230722_CLUS_0561	0561 OB-in Frmd7 Gaba_5	
CS20230722_CLUS_0562	0562 OB-in Frmd7 Gaba_5	
CS20230722_CLUS_0563	0563 OB-in Frmd7 Gaba_5	
CS20230722_CLUS_0564	0564 OB-in Frmd7 Gaba_5	
CS20230722_CLUS_0565	0565 OB-in Frmd7 Gaba_6	
CS20230722_CLUS_0566	0566 OB-in Frmd7 Gaba_7	
CS20230722_CLUS_0567	0567 OB-in Frmd7 Gaba_8	
CS20230722_CLUS_0568	0568 OB-out Frmd7 Gaba_1	
CS20230722_CLUS_0569	0569 OB-out Frmd7 Gaba_1	
CS20230722_CLUS_0570	0570 OB-out Frmd7 Gaba_1	
CS20230722_CLUS_0571	0571 OB-out Frmd7 Gaba_1	
CS20230722_CLUS_0572	0572 OB-out Frmd7 Gaba_1	
CS20230722_CLUS_0573	0573 OB-out Frmd7 Gaba_1	
CS20230722_CLUS_0574	0574 OB-out Frmd7 Gaba_1	
CS20230722_CLUS_0575	0575 OB-out Frmd7 Gaba_2	
CS20230722_CLUS_0576	0576 OB-out Frmd7 Gaba_2	
CS20230722_CLUS_0577	0577 OB-out Frmd7 Gaba_2	
CS20230722_CLUS_0578	0578 OB-out Frmd7 Gaba_3	
CS20230722_CLUS_0579	0579 OB-mi Frmd7 Gaba_1	
CS20230722_CLUS_0580	0580 OB-mi Frmd7 Gaba_1	
CS20230722_CLUS_0581	0581 OB-mi Frmd7 Gaba_1	
CS20230722_CLUS_0582	0582 OB Dopa-Gaba_1	
CS20230722_CLUS_0583	0583 OB Dopa-Gaba_1	
CS20230722_CLUS_0584	0584 OB Dopa-Gaba_1	
CS20230722_CLUS_0585	0585 OB Dopa-Gaba_1	
CS20230722_CLUS_0586	0586 OB Dopa-Gaba_1	
CS20230722_CLUS_0587	0587 OB Dopa-Gaba_1	
CS20230722_CLUS_0588	0588 OB Dopa-Gaba_1	
CS20230722_CLUS_0589	0589 OB Dopa-Gaba_1	
CS20230722_CLUS_0590	0590 OB Dopa-Gaba_2	
CS20230722_CLUS_0591	0591 OB Dopa-Gaba_3	
CS20230722_CLUS_0592	0592 OB Dopa-Gaba_4	
CS20230722_CLUS_0593	0593 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0594	0594 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0595	0595 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0596	0596 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0597	0597 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0598	0598 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0599	0599 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0600	0600 OB-STR-CTX Inh IMN_1	
CS20230722_CLUS_0601	0601 OB-STR-CTX Inh IMN_2	
CS20230722_CLUS_0602	0602 OB-STR-CTX Inh IMN_2	
CS20230722_CLUS_0603	0603 OB-STR-CTX Inh IMN_2	
CS20230722_CLUS_0604	0604 OB-STR-CTX Inh IMN_2	
CS20230722_CLUS_0605	0605 OB-STR-CTX Inh IMN_2	
CS20230722_CLUS_0606	0606 OB-STR-CTX Inh IMN_2	
CS20230722_CLUS_0607	0607 OB-STR-CTX Inh IMN_2	
CS20230722_CLUS_0608	0608 OB-STR-CTX Inh IMN_3	
CS20230722_CLUS_0609	0609 OB-STR-CTX Inh IMN_3	
CS20230722_CLUS_0610	0610 OB-STR-CTX Inh IMN_3	
CS20230722_CLUS_0611	0611 OB-STR-CTX Inh IMN_4	
CS20230722_CLUS_0612	0612 OB-STR-CTX Inh IMN_4	
CS20230722_CLUS_0613	0613 OB-STR-CTX Inh IMN_4	
CS20230722_CLUS_0614	0614 OB-STR-CTX Inh IMN_4	
CS20230722_CLUS_0615	0615 OB-STR-CTX Inh IMN_4	
CS20230722_CLUS_0616	0616 OB-STR-CTX Inh IMN_5	
CS20230722_CLUS_0617	0617 OB-STR-CTX Inh IMN_5	
CS20230722_CLUS_0618	0618 OB-STR-CTX Inh IMN_5	
CS20230722_CLUS_0619	0619 OB-STR-CTX Inh IMN_5	
CS20230722_CLUS_0620	0620 OB-STR-CTX Inh IMN_5	
CS20230722_CLUS_0621	0621 OB-STR-CTX Inh IMN_6	
CS20230722_CLUS_0622	0622 OB-STR-CTX Inh IMN_7	
CS20230722_CLUS_0623	0623 Vip Gaba_1	
CS20230722_CLUS_0624	0624 Vip Gaba_1	
CS20230722_CLUS_0625	0625 Vip Gaba_1	
CS20230722_CLUS_0626	0626 Vip Gaba_1	
CS20230722_CLUS_0627	0627 Vip Gaba_2	
CS20230722_CLUS_0628	0628 Vip Gaba_2	
CS20230722_CLUS_0629	0629 Vip Gaba_2	
CS20230722_CLUS_0630	0630 Vip Gaba_2	
