clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,markers,binary_genes,onTarget
25 Pineal Glut,50,0.9782608695652176,1.0,0.9,249662,0,5,45,3,"['Gnb3', 'Pde6g', 'Gm44196']","['Gnb3', 'Pde6g', 'Tph1', 'Gm44196', 'Tulp1', 'Rbp3', 'Cplx4', 'Crx', 'Fabp12', 'Rom1']",0.87888277
26 P GABA,9007,0.5047222944285592,0.5457526545908807,0.38803153103142,237796,2909,5512,3495,2,"['Otp', 'Slc30a3']","['Otp', 'Gm27199', 'Lmo1', 'Lhx1os', 'Lhx5', 'Slc30a3', 'Gm2824', 'Mn1', 'Pard3b', 'A330008L17Rik']",0.26200512
27 MY GABA,14174,0.7366785485787405,0.7516319552377992,0.6823761817412163,232342,3196,4502,9672,2,"['Lamp5', 'Hoxb3']","['Hoxd3', 'Hotairm1', 'Lamp5', 'Hoxb3', 'Hoxb2', 'Hoxb4', 'Hoxc4', 'Pax2', 'Slc6a5', 'Slc30a3']",0.30815408
28 CB GABA,1413,0.628809752967597,0.92018779342723,0.2774239207360226,248265,34,1021,392,2,"['Tfap2a', 'Pvalb']","['Tfap2a', 'Trim67', 'Tfap2b', 'Pvalb', 'Syt2', 'Slc6a5', 'Fam107b', 'Ntn1', 'Bhlhe22', 'Kit']",0.38534963
29 CB Glut,450,0.7043235704323569,0.8211382113821138,0.4488888888888889,249218,44,248,202,1,['Gabra6'],"['Fat2', 'Cbln3', 'Gabra6', 'Il16', 'Tll1', 'Rab37', 'Cbln1', 'Lmx1a', 'Eomes', 'Gm2694']",0.8109746
30 Astro-Epen,2855,0.8917105893627215,0.9820580474934036,0.6518388791593696,246823,34,994,1861,2,"['Mlc1', 'Mt2']","['Mlc1', 'Sox9', 'Aqp4', 'Slc39a12', 'Slc25a18', 'Mt2', 'Sdc4', 'Hepacam', 'Gja1', 'Apoe']",0.41065845
31 OPC-Oligo,1115,0.8972485999513027,0.9852941176470588,0.6609865470852018,248586,11,378,737,2,"['Olig1', 'Pllp']","['Olig1', 'Gpr17', 'Pllp', 'Ugt8a', 'Olig2', 'Bcas1', 'Fa2h', 'Myrf', 'Cldn11', 'Gjc3']",0.5178629
32 OEC,200,0.8990147783251231,0.954248366013072,0.73,249505,7,54,146,1,['Gm34838'],"['Gm34838', 'Frzb', 'Foxd3', 'Gm29521', 'Hey2', 'Alx3', 'Gm29683', 'Sntb1', 'Npy', 'Apod']",0.84933877
33 Vascular,950,0.8878741755454084,0.9358288770053476,0.7368421052631579,248714,48,250,700,1,['Foxc1'],"['Foxc1', 'Foxd1', 'Ogn', 'Arhgap29', 'Cped1', 'Igfbp7', 'Tbx18', 'Cdh5', 'Mgp', 'Col1a2']",0.87684083
34 Immune,486,0.9365634365634364,0.9894459102902374,0.7716049382716049,249222,4,111,375,2,"['Laptm5', 'Mir142hg']","['Laptm5', 'Mir142hg', 'Ptprc', 'Inpp5d', 'Cd53', 'Arhgap45', 'Dock2', 'Cd52', 'Rac2', 'Tyrobp']",0.87903833
