clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,markers,binary_genes,onTarget
01 IT-ET Glut,20055,0.7506463072144625,0.9577598481252966,0.4024931438544004,229301,356,11983,8072,2,"['Vxn', 'C1ql3']","['Ccn3', 'Vxn', 'C1ql3', 'Inka2', 'Itpka', 'Ankrd33b', 'Ddn', 'Slc17a7', 'Neurod2', 'Slit3']",0.1558865
02 NP-CT-L6b Glut,4150,0.7316956604855669,0.9702154626109,0.3689156626506024,245515,47,2619,1531,2,"['Fezf2', 'Nxph3']","['Rai14', 'Fezf2', 'Nxph3', 'Vxn', 'Neurod6', 'Kcnmb4', 'Tbr1', 'Gng12', 'Slc17a7', 'Foxp2']",0.34902757
03 OB-CR Glut,800,0.7523510971786833,0.8767123287671232,0.48,248858,54,416,384,1,['Cdhr1'],"['Atp6ap1l', 'Ndnf', 'Emx2', 'Diablo', 'Eomes', 'Cdhr1', 'Deptor', 'Reln', 'Ramp1', 'Nxph4']",0.3109798
04 DG-IMN Glut,792,0.452724358974359,0.9912280701754386,0.1426767676767676,248919,1,679,113,2,"['Tubb2b', 'Neurod1']","['Gm28376', 'Jph1', 'Glis3', 'Prox1', 'Tubb2b', 'Neurod1', 'Neurod2', 'Slit3', 'Cdh9', 'Zfpm2']",0.08870983
05 OB-IMN GABA,5102,0.6859328105334496,0.7287220365132425,0.55546844374755,243555,1055,2268,2834,1,['Meis2'],"['Sp8', 'Map3k1', 'Gprc5b', 'Dlx1', 'Meis2', 'Synpr', 'Mir9-3hg', 'Sox4', 'Dlx6os1', 'Tshz1']",0.11340324
06 CTX-CGE GABA,5040,0.6401190919240789,0.964260686755431,0.273015873015873,244621,51,3664,1376,2,"['Htr3a', 'Maf']","['Rgs12', 'Htr3a', 'Npas1', 'Cxcl14', 'Dlx1as', 'Maf', 'Prox1', 'Igf1', 'Zbtb16', 'Dlx6os1']",0.3748337
07 CTX-MGE GABA,5250,0.7199157171843297,0.97567424643046,0.3514285714285714,244416,46,3405,1845,2,"['Rbp4', 'Lhx6']","['Rbp4', 'Sst', 'Mafb', 'Cort', 'Crhbp', 'Lhx6', 'Maf', 'Elfn1', 'Sox6', 'Rab3b']",0.33480537
08 CNU-MGE GABA,5169,0.6009280742459397,0.6148036253776435,0.55117043915651,242758,1785,2320,2849,2,"['Lhx8', 'Lhx6']","['Lhx8', 'Lhx6', 'Sfta3-ps', 'Tacr1', 'Lypd6', 'Kcnmb4', 'Sox6', 'Elfn1', 'Arx', 'Rab3b']",0.5594325
09 CNU-LGE GABA,4666,0.7388880403238125,0.9183673469387756,0.4147021003000428,244874,172,2731,1935,2,"['Rarb', 'Six3']","['Ppp1r1b', 'Rarb', 'Gpr88', 'Adamts3', 'Gm10754', 'Six3', 'Gng7', 'Strip2', 'Lrrk2', 'Foxp2']",0.15717961
10 LSX GABA,7137,0.7893202468296002,0.966676584349896,0.4552332912988651,242463,112,3888,3249,2,"['Prdm16', 'Ankrd63']","['Lbhd2', 'C130074G19Rik', 'Inafm2', 'Prdm16', 'Ankrd63', 'Myo5b', 'Ano1', 'Myo10', 'Prkcd', 'Zic5']",0.21839216
11 CNU-HYa GABA,19047,0.4769901551450536,0.540078499781945,0.3250905654433769,225392,5273,12855,6192,2,"['Scn5a', 'Arx']","['Scn5a', 'Prlr', 'Arx', 'Dlx6', 'Nr2f2', 'Gabrg1', 'Dlx6os1', 'Gda', 'Foxg1', 'Glra3']",0.123928286
12 HY GABA,20830,0.4613111327350705,0.5908146780521578,0.2457993278924627,225336,3546,15710,5120,2,"['Dlk1', 'Dlx1']","['Dlk1', 'Nr2f2', 'Dlx1', 'Gfra2', 'Gpx3', 'Chrm2', 'Gm14204', 'Pcbd1', 'Cd83', 'AW551984']",0.10578911
13 CNU-HYa Glut,11271,0.5795163113917767,0.6726952624839949,0.3729039126963002,236396,2045,7068,4203,2,"['Tbr1', 'Calb2']","['Nos1', 'Tbr1', 'Nr2f2', 'Ndst4', 'Calb2', 'Tmem132d', 'Nrgn', 'Slc17a6', 'Tmem163', 'Sv2b']",0.110701196
14 HY Glut,16648,0.2878894418000866,0.4189295552931916,0.1278832292167227,230111,2953,14519,2129,3,"['Nos1', 'Prlr', 'Adcyap1']","['Ngb', 'Nos1', 'Prlr', 'Adcyap1', 'Zbtb7c', 'Krt1', 'Gpx3', 'Zim1', 'Calb2', 'Peg10']",0.07789907
15 HY Gnrh1 Glut,50,0.9917355371900828,1.0,0.96,249662,0,2,48,1,['Gnrh1'],"['Gnrh1', 'Six1', 'Otx1', 'Epcam', 'Six6', 'Tmprss6', 'Pde11a', 'Tstd1', 'Gm49857', 'Pirt']",0.8140643
16 HY MM Glut,650,0.7361963190184049,0.979591836734694,0.3692307692307692,249057,5,410,240,2,"['B230323A14Rik', 'Rprm']","['Foxb1', 'B230323A14Rik', 'Rprm', 'Nkx2-1', 'Pitx2', 'Mamdc2', 'Sfta3-ps', 'Grm2', 'Cartpt', 'Cpne9']",0.42298946
17 MH-LH Glut,1742,0.822267620020429,0.9351403678606002,0.5545350172215844,247903,67,776,966,1,['Gm5741'],"['Gm5741', 'Gpr151', 'Pou4f1', 'Scube1', 'D130079A08Rik', 'Kcnh8', 'Gng8', 'Nr4a2', 'Lrrc55', 'Kitl']",0.8603001
18 TH Glut,5640,0.8483772819472617,0.9505681818181818,0.5932624113475178,243898,174,2294,3346,2,"['Synpo2', 'Shox2']","['Synpo2', 'Gbx2', 'Ramp3', 'Rgs16', 'Shox2', 'Plekhg1', 'Kitl', 'Ptpn3', 'Timp3', 'Tcf7l2']",0.25602373
19 MB Glut,31496,0.7321603458174328,0.7979021944150527,0.5506731013462027,213823,4393,14152,17344,2,"['Shox2', 'Lhx9']","['Shox2', 'Lhx9', 'Mab21l1', 'Ebf3', 'Tcf7l2', 'Pou3f2', 'Ebf1', 'Nek7', 'Cachd1', 'Slc17a6']",0.20157182
20 MB GABA,21347,0.7853855376642128,0.8668801138384916,0.5707593572867382,226494,1871,9163,12184,2,"['Gata3', 'Lhx1os']","['Tal1', 'Asic4', 'Gata3', 'Lhx1', 'Lmo1', 'Lhx1os', 'Lhx5', 'Cbfa2t3', 'Rpp25', 'Zfpm2']",0.22825548
21 MB Dopa,2057,0.8419298524043803,1.0,0.5157997083130773,247655,0,996,1061,2,"['Slc6a3', 'Chrnb3']","['Slc6a3', '9030622O22Rik', 'Th', 'Chrna6', 'Foxa2', 'Chrnb3', 'Foxa1', 'Ntsr1', 'Ret', 'Slc10a4']",0.7137183
22 MB-HB Sero,1463,0.8926261319534282,0.9787234042553192,0.6602870813397129,248228,21,497,966,2,"['Fev', 'Gata2']","['Fev', 'Slc17a8', 'Slc6a4', 'Cryba2', 'Tph2', 'Gata2', 'Fgd5', 'Gchfr', 'Maob', 'Gata3']",0.7149627
23 P Glut,12349,0.2742218179397865,0.3021635496883021,0.2001781520770912,231654,5709,9877,2472,4,"['Adcyap1', 'Nxph4', 'Gm2824', 'Glra1']","['Chst8', 'Adcyap1', 'Nxph4', 'Tmem200a', 'Gm2824', 'Glra1', 'Meis1', 'Ebf1', 'Meis2', 'Peg10']",0.09232032
24 MY Glut,16261,0.5357973766615943,0.5388263563930694,0.5240145132525675,226158,7293,7740,8521,1,['Hoxb5'],"['Hoxb5', 'Hoxb3', 'Hoxc4', 'Hoxb2', 'Hoxb4', 'Mab21l2', 'Skap2', 'Adcyap1', 'Glra1', 'Meis1']",0.47483766
