software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,subclass,297 CU-ECU Pax2 Gly-Gaba,15,0.11131725417439702,0.0916030534351145,0.8,249578,119,3,12,2,"['ENSMUSG00000020122', 'ENSMUSG00000004231']",0.05821342021226883
4.1,subclass,298 PRP Gata3 Slc6a5 Gly-Gaba,285,0.468839336763865,0.44808743169398907,0.5754385964912281,249225,202,121,164,2,"['ENSMUSG00000049107', 'ENSMUSG00000039728']",0.191587433218956
4.1,subclass,299 MARN-PPY Ngfr Gly-Gaba,28,0.8,0.8888888888888888,0.5714285714285714,249682,2,12,16,2,"['ENSMUSG00000039728', 'ENSMUSG00000000120']",0.16271643340587616
4.1,subclass,300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,2042,0.4984051036682615,0.872093023255814,0.18364348677766895,247615,55,1667,375,5,"['ENSMUSG00000034486', 'ENSMUSG00000036972', 'ENSMUSG00000045875', 'ENSMUSG00000004231', 'ENSMUSG00000031355']",0.020229164510965347
4.1,subclass,301 MV Nr4a2 Gly-Gaba,35,0.8187134502923976,0.8235294117647058,0.8,249671,6,7,28,2,"['ENSMUSG00000034486', 'ENSMUSG00000025094']",0.1097087413072586
4.1,subclass,302 MV Xdh Gly-Gaba,48,0.5357142857142857,1.0,0.1875,249664,0,39,9,2,"['ENSMUSG00000039728', 'ENSMUSG00000024066']",0.154724583029747
4.1,subclass,303 IRN Dmbx1 Pax2 Gly-Gaba,174,0.5757575757575758,0.9743589743589743,0.21839080459770116,249537,1,136,38,3,"['ENSMUSG00000028707', 'ENSMUSG00000067724', 'ENSMUSG00000038700']",0.2078183889389038
4.1,subclass,304 NTS-PARN Neurod2 Gly-Gaba,2249,0.20423319717786853,0.990990990990991,0.048910626945309024,247462,1,2139,110,4,"['ENSMUSG00000049744', 'ENSMUSG00000060961', 'ENSMUSG00000039728', 'ENSMUSG00000000861']",0.020041581243276596
4.1,subclass,305 SPVI-SPVC Sall3 Nfib Gly-Gaba,1077,0.6469542018674966,0.9931740614334471,0.27019498607242337,248633,2,786,291,4,"['ENSMUSG00000008575', 'ENSMUSG00000056648', 'ENSMUSG00000024565', 'ENSMUSG00000004231']",0.06539247930049896
4.1,subclass,306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba,975,0.6382518390307226,0.8832335329341318,0.30256410256410254,248698,39,680,295,3,"['ENSMUSG00000038253', 'ENSMUSG00000021313', 'ENSMUSG00000032702']",0.04978411644697189
4.1,subclass,307 RO-RPA Pkd2l1 Gaba,150,0.9045584045584045,0.9202898550724637,0.8466666666666667,249551,11,23,127,1,['ENSMUSG00000037578'],1.0
4.1,subclass,308 DCO Il22 Gly-Gaba,474,0.49118387909319894,0.975,0.16455696202531644,249236,2,396,78,2,"['ENSMUSG00000039728', 'ENSMUSG00000024168']",0.017851199954748154
4.1,subclass,309 CB PLI Gly-Gaba,425,0.023094688221709007,1.0,0.004705882352941176,249287,0,423,2,5,"['ENSMUSG00000039728', 'ENSMUSG00000032368', 'ENSMUSG00000021219', 'ENSMUSG00000039004', 'ENSMUSG00000022494']",0.012406306341290474
4.1,subclass,310 CBX Golgi Gly-Gaba,100,0.6106870229007633,0.6037735849056604,0.64,249570,42,36,64,2,"['ENSMUSG00000039728', 'ENSMUSG00000014198']",0.24648496508598328
4.1,subclass,311 CBX MLI Megf11 Gaba,200,0.24193548387096772,1.0,0.06,249512,0,188,12,4,"['ENSMUSG00000025927', 'ENSMUSG00000004110', 'ENSMUSG00000003573', 'ENSMUSG00000063434']",0.02443600818514824
4.1,subclass,312 CBX MLI Cdh22 Gaba,50,0.6132075471698114,0.9285714285714286,0.26,249661,1,37,13,3,"['ENSMUSG00000090394', 'ENSMUSG00000019146', 'ENSMUSG00000096883']",0.13841426372528076
4.1,subclass,313 CBX Purkinje Gaba,164,0.9569377990430622,0.9523809523809523,0.975609756097561,249540,8,4,160,1,['ENSMUSG00000004630'],1.0
4.1,subclass,314 CB Granule Glut,250,0.6274900398406374,1.0,0.252,249462,0,187,63,2,"['ENSMUSG00000035305', 'ENSMUSG00000020428']",0.5352762937545776
4.1,subclass,315 DCO UBC Glut,200,0.5874999999999999,0.94,0.235,249509,3,153,47,2,"['ENSMUSG00000026686', 'ENSMUSG00000042045']",0.3291440010070801
4.1,subclass,316 Bergmann NN,50,0.8908045977011495,1.0,0.62,249662,0,19,31,2,"['ENSMUSG00000042096', 'ENSMUSG00000021943']",0.7400333881378174
4.1,subclass,317 Astro-CB NN,50,0.6321839080459771,0.7096774193548387,0.44,249653,9,28,22,2,"['ENSMUSG00000042096', 'ENSMUSG00000063415']",0.3590269684791565
4.1,subclass,318 Astro-NT NN,468,0.4052197802197803,0.9076923076923077,0.12606837606837606,249238,6,409,59,4,"['ENSMUSG00000029084', 'ENSMUSG00000031980', 'ENSMUSG00000006522', 'ENSMUSG00000024411']",0.3166924715042114
4.1,subclass,319 Astro-TE NN,610,0.03968253968253969,1.0,0.00819672131147541,249102,0,605,5,4,"['ENSMUSG00000000247', 'ENSMUSG00000050953', 'ENSMUSG00000069171', 'ENSMUSG00000022112']",0.022505223751068115
4.1,subclass,320 Astro-OLF NN,300,0.670995670995671,0.7948717948717948,0.41333333333333333,249380,32,176,124,2,"['ENSMUSG00000050953', 'ENSMUSG00000047759']",0.5487929582595825
4.1,subclass,321 Astroependymal NN,300,0.046296296296296294,0.5,0.01,249409,3,297,3,4,"['ENSMUSG00000027737', 'ENSMUSG00000031558', 'ENSMUSG00000036972', 'ENSMUSG00000020932']",0.09742221981287003
4.1,subclass,322 Tanycyte NN,365,0.7488087134104833,0.7971014492753623,0.6027397260273972,249291,56,145,220,2,"['ENSMUSG00000002985', 'ENSMUSG00000056380']",0.32565128803253174
4.1,subclass,323 Ependymal NN,562,0.9508816120906799,0.9956043956043956,0.806049822064057,249148,2,109,453,2,"['ENSMUSG00000043164', 'ENSMUSG00000009281']",0.5929412841796875
4.1,subclass,324 Hypendymal NN,50,0.8734939759036144,1.0,0.58,249662,0,21,29,2,"['ENSMUSG00000027867', 'ENSMUSG00000029797']",0.671748161315918
4.1,subclass,325 CHOR NN,100,0.9938524590163934,1.0,0.97,249612,0,3,97,2,"['ENSMUSG00000058488', 'ENSMUSG00000061808']",0.5337456464767456
4.1,subclass,326 OPC NN,300,0.7124217118997913,0.6757425742574258,0.91,249281,131,27,273,1,['ENSMUSG00000029231'],0.4378746449947357
4.1,subclass,327 Oligo NN,815,0.9230530561588581,0.9883720930232558,0.7300613496932515,248890,7,220,595,2,"['ENSMUSG00000037625', 'ENSMUSG00000056966']",0.41474735736846924
4.1,subclass,328 OEC NN,200,0.6122448979591837,1.0,0.24,249512,0,152,48,2,"['ENSMUSG00000067261', 'ENSMUSG00000004655']",0.1658494472503662
4.1,subclass,329 ABC NN,150,0.8968253968253967,0.9416666666666667,0.7533333333333333,249555,7,37,113,1,['ENSMUSG00000010122'],1.0
4.1,subclass,330 VLMC NN,400,0.8806818181818181,0.9841269841269841,0.62,249308,4,152,248,2,"['ENSMUSG00000030108', 'ENSMUSG00000022548']",0.6866925358772278
4.1,subclass,331 Peri NN,100,0.7282608695652175,0.7444444444444445,0.67,249589,23,33,67,1,['ENSMUSG00000030247'],1.0
4.1,subclass,332 SMC NN,150,0.9365558912386707,0.96875,0.8266666666666667,249558,4,26,124,1,['ENSMUSG00000035783'],1.0
4.1,subclass,333 Endo NN,150,0.977961432506887,0.9861111111111112,0.9466666666666667,249560,2,8,142,1,['ENSMUSG00000079018'],1.0
4.1,subclass,334 Microglia NN,50,0.9829059829059831,1.0,0.92,249662,0,4,46,2,"['ENSMUSG00000036887', 'ENSMUSG00000054675']",0.5570906400680542
4.1,subclass,335 BAM NN,100,0.9244791666666666,1.0,0.71,249612,0,29,71,2,"['ENSMUSG00000026712', 'ENSMUSG00000055435']",0.3211229741573334
4.1,subclass,336 Monocytes NN,33,0.9090909090909091,1.0,0.6666666666666666,249679,0,11,22,1,['ENSMUSG00000056071'],1.0
4.1,subclass,337 DC NN,130,0.9346504559270518,0.9318181818181818,0.9461538461538461,249573,9,7,123,1,['ENSMUSG00000024610'],1.0
4.1,subclass,338 Lymphoid NN,173,0.8710217755443885,0.9811320754716981,0.6011560693641619,249537,2,69,104,2,"['ENSMUSG00000000682', 'ENSMUSG00000039264']",0.6648252010345459
