software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,cluster,0001 CLA-EPd-CTX Car3 Glut_1,50,0.0,0.0,0.0,249662,0,50,0,3,"['ENSMUSG00000038331', 'ENSMUSG00000027559', 'ENSMUSG00000020140']",0.002970298519358039
4.1,cluster,0002 CLA-EPd-CTX Car3 Glut_1,50,0.4545454545454545,0.6666666666666666,0.2,249657,5,40,10,3,"['ENSMUSG00000027559', 'ENSMUSG00000070570', 'ENSMUSG00000112210']",0.0018037502886727452
4.1,cluster,0003 CLA-EPd-CTX Car3 Glut_1,50,0.0,0.0,0.0,249662,0,50,0,3,"['ENSMUSG00000038331', 'ENSMUSG00000027559', 'ENSMUSG00000046318']",0.0030623706988990307
4.1,cluster,0004 CLA-EPd-CTX Car3 Glut_1,50,0.30303030303030304,1.0,0.08,249662,0,46,4,3,"['ENSMUSG00000027559', 'ENSMUSG00000034009', 'ENSMUSG00000030351']",0.0061377594247460365
4.1,cluster,0005 CLA-EPd-CTX Car3 Glut_2,50,0.29069767441860467,0.5555555555555556,0.1,249658,4,45,5,3,"['ENSMUSG00000037868', 'ENSMUSG00000041431', 'ENSMUSG00000024154']",0.0
4.1,cluster,0006 IT EP-CLA Glut_1,50,0.0,0.0,0.0,249662,0,50,0,4,"['ENSMUSG00000087247', 'ENSMUSG00000049630', 'ENSMUSG00000030209', 'ENSMUSG00000096606']",0.00010863254283322021
4.1,cluster,0007 IT EP-CLA Glut_1,50,0.2027027027027027,0.5,0.06,249659,3,47,3,4,"['ENSMUSG00000070570', 'ENSMUSG00000007279', 'ENSMUSG00000043659', 'ENSMUSG00000025013']",0.0028435566928237677
4.1,cluster,0008 IT EP-CLA Glut_1,50,0.0,0.0,0.0,249662,0,50,0,4,"['ENSMUSG00000038331', 'ENSMUSG00000053153', 'ENSMUSG00000035274', 'ENSMUSG00000053846']",0.004988726228475571
4.1,cluster,0009 IT EP-CLA Glut_1,50,0.08620689655172414,0.5,0.02,249661,1,49,1,4,"['ENSMUSG00000026141', 'ENSMUSG00000029154', 'ENSMUSG00000043659', 'ENSMUSG00000041431']",0.0020585565362125635
4.1,cluster,0010 IT EP-CLA Glut_1,50,0.24193548387096772,1.0,0.06,249662,0,47,3,4,"['ENSMUSG00000045648', 'ENSMUSG00000057722', 'ENSMUSG00000048387', 'ENSMUSG00000021998']",0.00021195848239585757
4.1,cluster,0011 IT EP-CLA Glut_1,50,0.22727272727272727,0.75,0.06,249661,1,47,3,4,"['ENSMUSG00000038331', 'ENSMUSG00000025255', 'ENSMUSG00000015568', 'ENSMUSG00000048387']",0.0
4.1,cluster,0012 IT EP-CLA Glut_1,50,0.09259259259259259,1.0,0.02,249662,0,49,1,3,"['ENSMUSG00000030559', 'ENSMUSG00000048387', 'ENSMUSG00000021091']",0.0
4.1,cluster,0013 IT EP-CLA Glut_2,50,0.1271186440677966,0.17647058823529413,0.06,249648,14,47,3,2,"['ENSMUSG00000027996', 'ENSMUSG00000054892']",0.0
