software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,supertype,0025 L4/5 IT CTX Glut_3,300,0.0,0.0,0.0,249412,0,300,0,8,"['ENSMUSG00000036815', 'ENSMUSG00000032625', 'ENSMUSG00000076498', 'ENSMUSG00000030047', 'ENSMUSG00000030226', 'ENSMUSG00000030792', 'ENSMUSG00000033208', 'ENSMUSG00000036192']",0.00337382429279387
4.1,supertype,0026 L4/5 IT CTX Glut_4,300,0.03125,0.4,0.006666666666666667,249409,3,298,2,5,"['ENSMUSG00000034810', 'ENSMUSG00000035456', 'ENSMUSG00000047495', 'ENSMUSG00000020080', 'ENSMUSG00000031216']",0.0
4.1,supertype,0027 L4/5 IT CTX Glut_5,200,0.10593220338983052,0.5555555555555556,0.025,249508,4,195,5,4,"['ENSMUSG00000028033', 'ENSMUSG00000027318', 'ENSMUSG00000027776', 'ENSMUSG00000028871']",0.0007276199175976217
4.1,supertype,0028 L4/5 IT CTX Glut_6,200,0.0,0.0,0.0,249512,0,200,0,5,"['ENSMUSG00000045648', 'ENSMUSG00000068696', 'ENSMUSG00000028871', 'ENSMUSG00000047945', 'ENSMUSG00000030792']",0.0009718750952742994
4.1,supertype,0029 L2/3 IT CTX Glut_1,250,0.15517241379310343,0.9,0.036,249461,1,241,9,5,"['ENSMUSG00000078137', 'ENSMUSG00000001025', 'ENSMUSG00000036469', 'ENSMUSG00000023886', 'ENSMUSG00000024517']",0.0
4.1,supertype,0030 L2/3 IT CTX Glut_2,250,0.12411347517730496,0.875,0.028,249461,1,243,7,4,"['ENSMUSG00000036815', 'ENSMUSG00000040998', 'ENSMUSG00000062372', 'ENSMUSG00000097182']",0.0005423858528956771
4.1,supertype,0031 L2/3 IT CTX Glut_3,200,0.0,0.0,0.0,249512,0,200,0,6,"['ENSMUSG00000026676', 'ENSMUSG00000095139', 'ENSMUSG00000052581', 'ENSMUSG00000032017', 'ENSMUSG00000047773', 'ENSMUSG00000075707']",0.0010092629818245769
4.1,supertype,0032 L2/3 IT CTX Glut_4,200,0.0,0.0,0.0,249511,1,200,0,6,"['ENSMUSG00000026676', 'ENSMUSG00000078137', 'ENSMUSG00000059991', 'ENSMUSG00000032017', 'ENSMUSG00000037868', 'ENSMUSG00000031216']",0.0005720378248952329
4.1,supertype,0033 L2/3 IT ENT Glut_1,150,0.36324786324786323,0.8095238095238095,0.11333333333333333,249558,4,133,17,3,"['ENSMUSG00000075324', 'ENSMUSG00000063415', 'ENSMUSG00000020805']",0.0
4.1,supertype,0034 L2/3 IT ENT Glut_2,150,0.3076923076923077,0.4,0.16,249526,36,126,24,3,"['ENSMUSG00000045083', 'ENSMUSG00000020061', 'ENSMUSG00000044350']",0.0
4.1,supertype,0035 L2/3 IT ENT Glut_3,150,0.14705882352941177,1.0,0.03333333333333333,249562,0,145,5,5,"['ENSMUSG00000026676', 'ENSMUSG00000073910', 'ENSMUSG00000056586', 'ENSMUSG00000049107', 'ENSMUSG00000086236']",0.0
4.1,supertype,0036 L2/3 IT ENT Glut_4,150,0.6285714285714287,0.88,0.29333333333333333,249556,6,106,44,2,"['ENSMUSG00000027356', 'ENSMUSG00000021508']",0.5046036243438721
4.1,supertype,0037 L2/3 IT ENT Glut_5,150,0.18633540372670807,0.27906976744186046,0.08,249531,31,138,12,3,"['ENSMUSG00000027356', 'ENSMUSG00000058400', 'ENSMUSG00000025221']",0.0033967550843954086
4.1,supertype,0038 L2/3 IT ENT Glut_6,100,0.0,0.0,0.0,249610,2,100,0,4,"['ENSMUSG00000051985', 'ENSMUSG00000034009', 'ENSMUSG00000041741', 'ENSMUSG00000050541']",0.0
4.1,supertype,0039 L2/3 IT PIR-ENTl Glut_1,300,0.0,0.0,0.0,249412,0,300,0,9,"['ENSMUSG00000026676', 'ENSMUSG00000075324', 'ENSMUSG00000027004', 'ENSMUSG00000029151', 'ENSMUSG00000042589', 'ENSMUSG00000035486', 'ENSMUSG00000023886', 'ENSMUSG00000046318', 'ENSMUSG00000041380']",0.0
4.1,supertype,0040 L2/3 IT PIR-ENTl Glut_2,250,0.18707482993197277,1.0,0.044,249462,0,239,11,4,"['ENSMUSG00000044167', 'ENSMUSG00000044254', 'ENSMUSG00000062077', 'ENSMUSG00000070570']",0.007737262174487114
4.1,supertype,0041 L2/3 IT PIR-ENTl Glut_3,300,0.0,0.0,0.0,249412,0,300,0,7,"['ENSMUSG00000051985', 'ENSMUSG00000049630', 'ENSMUSG00000043456', 'ENSMUSG00000049148', 'ENSMUSG00000022602', 'ENSMUSG00000035258', 'ENSMUSG00000024647']",0.0018691513687372208
4.1,supertype,0042 L2/3 IT PIR-ENTl Glut_4,300,0.09259259259259259,1.0,0.02,249412,0,294,6,4,"['ENSMUSG00000051985', 'ENSMUSG00000048251', 'ENSMUSG00000022468', 'ENSMUSG00000022687']",0.02601536549627781
4.1,supertype,0043 L2/3 IT PIR-ENTl Glut_5,50,0.0851063829787234,0.0761904761904762,0.16,249565,97,42,8,2,"['ENSMUSG00000032511', 'ENSMUSG00000044201']",0.002563012531027198
4.1,supertype,0044 L2/3 IT PIR-ENTl Glut_6,100,0.0,0.0,0.0,249612,0,100,0,5,"['ENSMUSG00000051985', 'ENSMUSG00000026604', 'ENSMUSG00000030022', 'ENSMUSG00000114469', 'ENSMUSG00000041380']",0.0
4.1,supertype,0045 L2/3 IT PIR-ENTl Glut_7,100,0.3676470588235294,0.5769230769230769,0.15,249601,11,85,15,3,"['ENSMUSG00000042596', 'ENSMUSG00000029338', 'ENSMUSG00000062151']",0.02303585596382618
4.1,supertype,0046 IT AON-TT-DP Glut_1,250,0.01968503937007874,1.0,0.004,249462,0,249,1,4,"['ENSMUSG00000070695', 'ENSMUSG00000026676', 'ENSMUSG00000032368', 'ENSMUSG00000031216']",0.0
4.1,supertype,0047 IT AON-TT-DP Glut_2,200,0.14285714285714285,0.4,0.04,249500,12,192,8,4,"['ENSMUSG00000049630', 'ENSMUSG00000047735', 'ENSMUSG00000030905', 'ENSMUSG00000031557']",0.008092019706964493
4.1,supertype,0048 IT AON-TT-DP Glut_3,200,0.20833333333333334,1.0,0.05,249512,0,190,10,3,"['ENSMUSG00000045532', 'ENSMUSG00000039004', 'ENSMUSG00000035258']",0.02943754568696022
4.1,supertype,0049 IT AON-TT-DP Glut_4,150,0.060240963855421686,0.5,0.013333333333333334,249560,2,148,2,3,"['ENSMUSG00000085007', 'ENSMUSG00000027955', 'ENSMUSG00000019865']",0.0
4.1,supertype,0050 IT AON-TT-DP Glut_5,200,0.2640845070422535,0.7142857142857143,0.075,249506,6,185,15,4,"['ENSMUSG00000027296', 'ENSMUSG00000039405', 'ENSMUSG00000045532', 'ENSMUSG00000035258']",0.0030800718814134598
4.1,supertype,0051 L2 IT ENT-po Glut_1,100,0.5555555555555556,1.0,0.2,249612,0,80,20,3,"['ENSMUSG00000046480', 'ENSMUSG00000110924', 'ENSMUSG00000022512']",0.11695202440023422
4.1,supertype,0052 L2 IT ENT-po Glut_2,100,0.23648648648648646,0.2857142857142857,0.14,249577,35,86,14,2,"['ENSMUSG00000026609', 'ENSMUSG00000019929']",0.0
4.1,supertype,0053 L2 IT ENT-po Glut_3,50,0.0,0.0,0.0,249662,0,50,0,3,"['ENSMUSG00000051985', 'ENSMUSG00000042489', 'ENSMUSG00000113919']",0.16965937614440918
4.1,supertype,0054 L2 IT ENT-po Glut_4,50,0.5384615384615385,0.7,0.28,249656,6,36,14,2,"['ENSMUSG00000049107', 'ENSMUSG00000038457']",0.5
4.1,supertype,0055 MEA Slc17a7 Glut_1,436,0.185546875,1.0,0.04357798165137615,249276,0,417,19,4,"['ENSMUSG00000035551', 'ENSMUSG00000063626', 'ENSMUSG00000064201', 'ENSMUSG00000091243']",0.047226015478372574
4.1,supertype,0056 MEA Slc17a7 Glut_2,595,0.09273570324574963,0.9230769230769231,0.020168067226890758,249116,1,583,12,5,"['ENSMUSG00000010175', 'ENSMUSG00000032511', 'ENSMUSG00000038255', 'ENSMUSG00000084890', 'ENSMUSG00000059456']",0.003352796658873558
4.1,supertype,0057 MEA Slc17a7 Glut_3,100,0.3472222222222222,0.9090909090909091,0.1,249611,1,90,10,4,"['ENSMUSG00000028519', 'ENSMUSG00000070867', 'ENSMUSG00000049107', 'ENSMUSG00000041703']",0.027394196018576622
4.1,supertype,0058 COAp Grxcr2 Glut_1,50,0.0,0.0,0.0,249662,0,50,0,4,"['ENSMUSG00000055214', 'ENSMUSG00000027318', 'ENSMUSG00000075707', 'ENSMUSG00000022324']",0.0
4.1,supertype,0059 COAp Grxcr2 Glut_2,250,0.23291925465838512,0.8333333333333334,0.06,249459,3,235,15,3,"['ENSMUSG00000009376', 'ENSMUSG00000005892', 'ENSMUSG00000113919']",0.0
4.1,supertype,0060 LA-BLA-BMA-PA Glut_1,450,0.5738522954091817,0.8333333333333334,0.25555555555555554,249239,23,335,115,3,"['ENSMUSG00000028176', 'ENSMUSG00000019929', 'ENSMUSG00000038408']",0.04363939166069031
4.1,supertype,0061 LA-BLA-BMA-PA Glut_2,300,0.30701754385964913,0.717948717948718,0.09333333333333334,249401,11,272,28,4,"['ENSMUSG00000042596', 'ENSMUSG00000086308', 'ENSMUSG00000052581', 'ENSMUSG00000019929']",0.000490969221573323
4.1,supertype,0062 LA-BLA-BMA-PA Glut_3,250,0.3468208092485549,1.0,0.096,249462,0,226,24,5,"['ENSMUSG00000026676', 'ENSMUSG00000046818', 'ENSMUSG00000063415', 'ENSMUSG00000060924', 'ENSMUSG00000024517']",0.04740515723824501
4.1,supertype,0063 LA-BLA-BMA-PA Glut_4,200,0.29761904761904756,0.45454545454545453,0.125,249482,30,175,25,3,"['ENSMUSG00000026395', 'ENSMUSG00000063887', 'ENSMUSG00000091243']",0.000909531197976321
4.1,supertype,0064 LA-BLA-BMA-PA Glut_5,200,0.6900000000000001,0.92,0.345,249506,6,131,69,3,"['ENSMUSG00000026395', 'ENSMUSG00000063415', 'ENSMUSG00000009394']",0.03849637880921364
4.1,supertype,0065 LA-BLA-BMA-PA Glut_6,150,0.30991735537190085,0.6521739130434783,0.1,249554,8,135,15,3,"['ENSMUSG00000032332', 'ENSMUSG00000019929', 'ENSMUSG00000068117']",0.02849550172686577
4.1,supertype,0066 ENTmv-PA-COAp Glut_1,200,0.30303030303030304,1.0,0.08,249512,0,184,16,4,"['ENSMUSG00000038115', 'ENSMUSG00000001741', 'ENSMUSG00000019929', 'ENSMUSG00000049336']",0.0005285131046548486
4.1,supertype,0067 ENTmv-PA-COAp Glut_2,150,0.3781512605042016,0.8181818181818182,0.12,249558,4,132,18,4,"['ENSMUSG00000070564', 'ENSMUSG00000019929', 'ENSMUSG00000041828', 'ENSMUSG00000037362']",0.034996844828128815
4.1,supertype,0068 ENTmv-PA-COAp Glut_3,100,0.36458333333333337,0.6086956521739131,0.14,249603,9,86,14,2,"['ENSMUSG00000026205', 'ENSMUSG00000019929']",0.0057710944674909115
4.1,supertype,0069 CA1-ProS Glut_1,500,0.029296875,1.0,0.006,249212,0,497,3,3,"['ENSMUSG00000038370', 'ENSMUSG00000038793', 'ENSMUSG00000026841']",0.03170456737279892
4.1,supertype,0070 CA1-ProS Glut_2,350,0.16009852216748768,0.9285714285714286,0.037142857142857144,249361,1,337,13,4,"['ENSMUSG00000090125', 'ENSMUSG00000023232', 'ENSMUSG00000005107', 'ENSMUSG00000019929']",0.02747814916074276
4.1,supertype,0071 CA1-ProS Glut_3,300,0.2619047619047619,0.7333333333333333,0.07333333333333333,249404,8,278,22,3,"['ENSMUSG00000050074', 'ENSMUSG00000019929', 'ENSMUSG00000041481']",0.0
4.1,supertype,0072 CA1-ProS Glut_4,250,0.5324909747292419,0.7763157894736842,0.236,249445,17,191,59,3,"['ENSMUSG00000038793', 'ENSMUSG00000075707', 'ENSMUSG00000053465']",0.1151055246591568
4.1,supertype,0073 CA1-ProS Glut_5,200,0.4838709677419355,0.6486486486486487,0.24,249486,26,152,48,3,"['ENSMUSG00000019929', 'ENSMUSG00000006369', 'ENSMUSG00000097683']",0.049527816474437714
4.1,supertype,0074 CA1-ProS Glut_6,150,0.19662921348314605,1.0,0.04666666666666667,249562,0,143,7,3,"['ENSMUSG00000033502', 'ENSMUSG00000037846', 'ENSMUSG00000019929']",0.0
4.1,supertype,0075 CA3 Glut_1,300,0.6773743016759777,0.9326923076923077,0.3233333333333333,249405,7,203,97,3,"['ENSMUSG00000033740', 'ENSMUSG00000026676', 'ENSMUSG00000050074']",0.038419269025325775
4.1,supertype,0076 CA3 Glut_2,236,0.29320987654320985,0.8636363636363636,0.08050847457627118,249473,3,217,19,3,"['ENSMUSG00000033740', 'ENSMUSG00000090272', 'ENSMUSG00000091243']",0.0148753821849823
4.1,supertype,0077 CA3 Glut_3,288,0.08116883116883117,1.0,0.017361111111111112,249424,0,283,5,6,"['ENSMUSG00000028033', 'ENSMUSG00000036815', 'ENSMUSG00000059187', 'ENSMUSG00000003573', 'ENSMUSG00000032373', 'ENSMUSG00000023886']",0.012538857758045197
4.1,supertype,0078 CA3 Glut_4,150,0.7111111111111111,0.8533333333333334,0.4266666666666667,249551,11,86,64,2,"['ENSMUSG00000038064', 'ENSMUSG00000003573']",0.544109046459198
4.1,supertype,0079 CA3 Glut_5,100,0.4713114754098361,0.6388888888888888,0.23,249599,13,77,23,2,"['ENSMUSG00000019539', 'ENSMUSG00000071714']",0.07418860495090485
4.1,supertype,0080 L2 IT PPP-APr Glut_1,200,0.234375,0.8571428571428571,0.06,249510,2,188,12,3,"['ENSMUSG00000020021', 'ENSMUSG00000049336', 'ENSMUSG00000040732']",0.0
4.1,supertype,0081 L2 IT PPP-APr Glut_2,200,0.0,0.0,0.0,249512,0,200,0,5,"['ENSMUSG00000027016', 'ENSMUSG00000028519', 'ENSMUSG00000062372', 'ENSMUSG00000090356', 'ENSMUSG00000055523']",0.0
4.1,supertype,0082 L2 IT PPP-APr Glut_3,100,0.22727272727272727,0.75,0.06,249610,2,94,6,2,"['ENSMUSG00000053398', 'ENSMUSG00000090356']",0.0
4.1,supertype,0083 L2 IT PPP-APr Glut_4,50,0.09259259259259259,1.0,0.02,249662,0,49,1,3,"['ENSMUSG00000001025', 'ENSMUSG00000070867', 'ENSMUSG00000090356']",0.06271335482597351
4.1,supertype,0084 L2/3 IT PPP Glut_1,200,0.6418918918918919,0.9344262295081968,0.285,249508,4,143,57,2,"['ENSMUSG00000113919', 'ENSMUSG00000046585']",0.4408397376537323
4.1,supertype,0085 L2/3 IT PPP Glut_2,200,0.3125,0.9444444444444444,0.085,249511,1,183,17,3,"['ENSMUSG00000043659', 'ENSMUSG00000058571', 'ENSMUSG00000059898']",0.0
4.1,supertype,0086 L2/3 IT PPP Glut_3,250,0.1530612244897959,0.8181818181818182,0.036,249460,2,241,9,4,"['ENSMUSG00000070564', 'ENSMUSG00000020354', 'ENSMUSG00000042284', 'ENSMUSG00000053465']",0.0006770873442292213
4.1,supertype,0087 L2/3 IT RSP Glut_1,50,0.22727272727272727,0.75,0.06,249661,1,47,3,3,"['ENSMUSG00000042501', 'ENSMUSG00000051985', 'ENSMUSG00000046818']",0.0
4.1,supertype,0088 L2/3 IT RSP Glut_2,200,0.16949152542372883,0.8888888888888888,0.04,249511,1,192,8,3,"['ENSMUSG00000026872', 'ENSMUSG00000037973', 'ENSMUSG00000021508']",0.0025070493575185537
4.1,supertype,0089 L4 RSP-ACA Glut_1,100,0.4761904761904762,0.9411764705882353,0.16,249611,1,84,16,2,"['ENSMUSG00000030792', 'ENSMUSG00000090356']",0.1461842656135559
4.1,supertype,0090 L5 ET CTX Glut_1,500,0.2205882352941176,0.9642857142857143,0.054,249211,1,473,27,4,"['ENSMUSG00000026094', 'ENSMUSG00000040998', 'ENSMUSG00000060594', 'ENSMUSG00000021743']",0.008956486359238625
4.1,supertype,0091 L5 ET CTX Glut_2,300,0.396551724137931,0.6571428571428571,0.15333333333333332,249388,24,254,46,3,"['ENSMUSG00000031557', 'ENSMUSG00000021743', 'ENSMUSG00000072568']",0.021151915192604065
4.1,supertype,0092 L5 ET CTX Glut_3,250,0.3414096916299559,0.6078431372549019,0.124,249442,20,219,31,3,"['ENSMUSG00000059187', 'ENSMUSG00000033581', 'ENSMUSG00000040732']",0.0025372705422341824
4.1,supertype,0093 L5 ET CTX Glut_4,250,0.7066666666666667,0.848,0.424,249443,19,144,106,2,"['ENSMUSG00000046818', 'ENSMUSG00000031492']",0.0923168957233429
4.1,supertype,0094 L5 ET CTX Glut_5,200,0.2870370370370371,0.36470588235294116,0.155,249458,54,169,31,3,"['ENSMUSG00000105279', 'ENSMUSG00000045083', 'ENSMUSG00000031613']",0.0
4.1,supertype,0095 L5 ET CTX Glut_6,200,0.5147058823529412,1.0,0.175,249512,0,165,35,3,"['ENSMUSG00000036907', 'ENSMUSG00000105279', 'ENSMUSG00000017493']",0.014136440120637417
4.1,supertype,0096 SUB-ProS Glut_1,250,0.4794520547945206,0.8936170212765957,0.168,249457,5,208,42,3,"['ENSMUSG00000026193', 'ENSMUSG00000034009', 'ENSMUSG00000078612']",0.13261033594608307
