supertype_id	supertype_label	supertype_id_label	subclass_id	subclass_label	subclass_id_label	class_id	class_label	class_id_label	division_id	division_label	division_id_label	neighborhood	nt_type_label	cell_set_accession.supertype
11	L5/6 IT TPE-ENT Glut_5	0011 L5/6 IT TPE-ENT Glut_5	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	CS202212150_31
12	L5/6 IT TPE-ENT Glut_6	0012 L5/6 IT TPE-ENT Glut_6	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	CS202212150_32
13	L6 IT CTX Glut_1	0013 L6 IT CTX Glut_1	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5209
14	L6 IT CTX Glut_2	0014 L6 IT CTX Glut_2	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5210
15	L6 IT CTX Glut_3	0015 L6 IT CTX Glut_3	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5211
16	L6 IT CTX Glut_4	0016 L6 IT CTX Glut_4	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5212
17	L6 IT CTX Glut_5	0017 L6 IT CTX Glut_5	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	CS202212150_5213
18	L5 IT CTX Glut_1	0018 L5 IT CTX Glut_1	5	L5 IT CTX Glut	005 L5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_5214
19	L5 IT CTX Glut_2	0019 L5 IT CTX Glut_2	5	L5 IT CTX Glut	005 L5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_5215
20	L5 IT CTX Glut_3	0020 L5 IT CTX Glut_3	5	L5 IT CTX Glut	005 L5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_5216
21	L5 IT CTX Glut_4	0021 L5 IT CTX Glut_4	5	L5 IT CTX Glut	005 L5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_5217
22	L5 IT CTX Glut_5	0022 L5 IT CTX Glut_5	5	L5 IT CTX Glut	005 L5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_65
23	L4/5 IT CTX Glut_1	0023 L4/5 IT CTX Glut_1	6	L4/5 IT CTX Glut	006 L4/5 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:38,IT-ET:38	Glut	CS202212150_5218
