defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110702	0702 STR Prox1 Lhx6 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110703	0703 STR Prox1 Lhx6 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110704	0704 STR Prox1 Lhx6 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110705	0705 STR Prox1 Lhx6 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110706	0706 STR Prox1 Lhx6 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110707	0707 STR Prox1 Lhx6 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110708	0708 STR Prox1 Lhx6 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110709	0709 STR Prox1 Lhx6 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110710	0710 STR Prox1 Lhx6 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110711	0711 STR Prox1 Lhx6 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110712	0712 STR Prox1 Lhx6 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110713	0713 STR Prox1 Lhx6 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110714	0714 STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110715	0715 STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110716	0716 STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110717	0717 STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110718	0718 STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110719	0719 Sst Chodl Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110720	0720 Sst Chodl Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110721	0721 Sst Chodl Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110722	0722 Sst Chodl Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110723	0723 Sst Chodl Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110724	0724 Sst Chodl Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110725	0725 Sst Chodl Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110726	0726 Sst Chodl Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110727	0727 Sst Chodl Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110728	0728 Sst Chodl Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110729	0729 Sst Chodl Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110730	0730 Sst Chodl Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110731	0731 Sst Chodl Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110732	0732 Sst Chodl Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110733	0733 Sst Chodl Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110734	0734 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110735	0735 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110736	0736 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110737	0737 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110738	0738 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110739	0739 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110740	0740 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110741	0741 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110742	0742 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110743	0743 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110744	0744 NDB-SI-MA-STRv Lhx8 Gaba_1											
http://purl.obolibrary.org/obo/PCL_0110745	0745 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110746	0746 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110747	0747 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110748	0748 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110749	0749 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110750	0750 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110751	0751 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110752	0752 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110753	0753 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110754	0754 NDB-SI-MA-STRv Lhx8 Gaba_2											
http://purl.obolibrary.org/obo/PCL_0110755	0755 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110756	0756 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110757	0757 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110758	0758 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110759	0759 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110760	0760 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110761	0761 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110762	0762 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110763	0763 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110764	0764 NDB-SI-MA-STRv Lhx8 Gaba_3											
http://purl.obolibrary.org/obo/PCL_0110765	0765 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110766	0766 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110767	0767 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110768	0768 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110769	0769 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110770	0770 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110771	0771 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110772	0772 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110773	0773 NDB-SI-MA-STRv Lhx8 Gaba_4											
http://purl.obolibrary.org/obo/PCL_0110774	0774 NDB-SI-MA-STRv Lhx8 Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110775	0775 NDB-SI-MA-STRv Lhx8 Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110776	0776 NDB-SI-MA-STRv Lhx8 Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110777	0777 NDB-SI-MA-STRv Lhx8 Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110778	0778 NDB-SI-MA-STRv Lhx8 Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110779	0779 NDB-SI-MA-STRv Lhx8 Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110780	0780 NDB-SI-MA-STRv Lhx8 Gaba_5											
http://purl.obolibrary.org/obo/PCL_0110781	0781 NDB-SI-MA-STRv Lhx8 Gaba_6											
http://purl.obolibrary.org/obo/PCL_0110782	0782 NDB-SI-MA-STRv Lhx8 Gaba_6											
http://purl.obolibrary.org/obo/PCL_0110783	0783 NDB-SI-MA-STRv Lhx8 Gaba_6											
http://purl.obolibrary.org/obo/PCL_0110784	0784 NDB-SI-MA-STRv Lhx8 Gaba_6											
http://purl.obolibrary.org/obo/PCL_0110785	0785 NDB-SI-MA-STRv Lhx8 Gaba_6											
http://purl.obolibrary.org/obo/PCL_0110786	0786 NDB-SI-MA-STRv Lhx8 Gaba_6											
http://purl.obolibrary.org/obo/PCL_0110787	0787 NDB-SI-MA-STRv Lhx8 Gaba_7											
