defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110001	1 Car3 Glut											
http://purl.obolibrary.org/obo/PCL_0110002	2 Car3 Glut											
http://purl.obolibrary.org/obo/PCL_0110003	3 Car3 Glut											
http://purl.obolibrary.org/obo/PCL_0110004	4 Car3 Glut											
http://purl.obolibrary.org/obo/PCL_0110005	5 Car3 Glut											
http://purl.obolibrary.org/obo/PCL_0110006	6 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110007	7 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110008	8 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110009	9 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110010	10 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110011	11 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110012	12 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110013	13 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110014	14 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110015	15 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110016	16 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110017	17 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110018	18 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110019	19 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110020	20 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110021	21 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110022	22 IT EP-CLA Glut											
http://purl.obolibrary.org/obo/PCL_0110023	23 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110024	24 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110025	25 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110026	26 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110027	27 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110028	28 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110029	29 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110030	30 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110031	31 L5/6 IT TPE-ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110032	32 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110033	33 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110034	34 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110035	35 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110036	36 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110037	37 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110038	38 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110039	39 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110040	40 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110041	41 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110042	42 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110043	43 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110044	44 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110045	45 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110046	46 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110047	47 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110048	48 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110049	49 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110050	50 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110051	51 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110052	52 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110053	53 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110054	54 L6 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110055	55 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110056	56 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110057	57 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110058	58 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110059	59 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110060	60 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110061	61 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110062	62 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110063	63 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110064	64 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110065	65 L5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110066	66 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110067	67 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110068	68 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110069	69 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110070	70 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110071	71 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110072	72 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110073	73 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110074	74 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110075	75 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110076	76 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110077	77 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110078	78 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110079	79 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110080	80 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110081	81 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110082	82 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110083	83 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110084	84 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110085	85 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110086	86 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110087	87 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110088	88 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110089	89 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110090	90 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110091	91 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110092	92 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110093	93 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110094	94 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110095	95 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110096	96 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110097	97 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110098	98 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110099	99 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110100	100 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110101	101 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110102	102 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110103	103 L4/5 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110104	104 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110105	105 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110106	106 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110107	107 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110108	108 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110109	109 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110110	110 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110111	111 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110112	112 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110113	113 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110114	114 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110115	115 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110116	116 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110117	117 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110118	118 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110119	119 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110120	120 L2/3 IT CTX Glut											
http://purl.obolibrary.org/obo/PCL_0110121	121 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110122	122 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110123	123 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110124	124 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110125	125 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110126	126 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110127	127 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110128	128 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110129	129 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110130	130 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110131	131 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110132	132 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110133	133 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110134	134 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110135	135 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110136	136 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110137	137 L2/3 IT ENT Glut											
http://purl.obolibrary.org/obo/PCL_0110138	138 L2/3 IT ENTl-PIR Glut											
